mol_no,input,output,reaction_type
3,Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(C3CCN(S(C)(=O)=O)CC3)CC2)cc2nc[nH]c12,CS(=O)(=O)N1CCC(C2CCNCC2)CC1.Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)O)cc2nc[nH]c12,2
14,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CNC2)nc1N,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CN(C(=O)OC(C)(C)C)C2)nc1N,6
29,COC=Cc1cccc(OC)c1OC,COC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.COc1cccc(C=O)c1OC,3
31,CCCN(CCC)C(=O)n1cnc(S(=O)C(C)C)n1,CC(C)S(=O)c1nc[nH]n1.CCCN(CCC)C(=O)Cl,1
33,O=C(c1ccc([N+](=O)[O-])cc1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,O=C(Cl)c1ccc([N+](=O)[O-])cc1.O=C1N[C@@H](c2ccccc2)CN1S(=O)(=O)c1ccc2c(c1)CCN2,2
35,CCC(C)COC(C)=O,CC(=O)Cl.CCC(C)CO,2
39,Cc1ccc(S(=O)(=O)O)cc1,CC1(N)CCN(C(=O)OC(C)(C)C)CC1,6
76,COc1ccc(C(=O)c2sc(C(C)C)cc2O)cc1,COc1ccc(C(=O)c2sc(C(C)C)cc2OCc2ccccc2)cc1,6
80,CN(C(=O)OC(C)(C)C)[C@@H](C=O)Cc1ccccc1,CN(C(=O)OC(C)(C)C)[C@@H](CO)Cc1ccccc1,8
88,CCN(CC)C(=O)c1ccc(OC)cc1-c1ncccc1C,CCN(CC)C(=O)c1ccc(OC)cc1B(O)O.Cc1cccnc1Br,3
92,CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)C,CC1CCCC(C)(C)C1CCC(C)N(C)C.CI,1
96,COc1cccc(NC(=O)c2ccccc2C)c1,COc1cccc(N)c1.Cc1ccccc1C(=O)Cl,2
101,COc1cc(S(=O)(=O)N2CCC3(CC2)CN(C2CC2)C(=O)CO3)ccc1Br,COc1cc(S(=O)(=O)Cl)ccc1Br.O=C1COC2(CCNCC2)CN1C1CC1,2
106,CCCCC1CN(CCc2ccccc2)CCC1=NO,CCCCC1CN(CCc2ccccc2)CCC1=O.NO,9
107,COc1cc([N+](=O)[O-])ccc1NC(=O)OCc1ccccc1,COc1cc([N+](=O)[O-])ccc1N.O=C(Cl)OCc1ccccc1,2
108,CSc1ccccc1CN1CCC(=O)C(C(c2ccccc2)c2ccccc2)C1,CSc1ccccc1CO.O=C1CCNCC1C(c1ccccc1)c1ccccc1,1
119,COC(=O)c1cccc(C(=O)N2CCC(CCN3C4CCC3CC(n3c(C)nc5ccccc53)C4)(c3ccccc3)CC2)c1,COC(=O)c1cccc(C(=O)O)c1.Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2ccccc2)CCNCC1,2
251,CC(C)[C@H](N)[C@H](O)C(F)(F)F,CC(C)[C@H](NC(=O)OCc1ccccc1)[C@H](O)C(F)(F)F,6
259,COc1ccc(-c2cc3c(cn2)CN(C(C)=O)c2ccccc2C=C3)cn1,COc1ccc(-c2nc3c(cc2F)CN(C(C)=O)c2ccccc2C=C3)cn1,3
263,CSc1ccc(Nc2cc(-c3nnc(C(C)(C)OC(C)=O)o3)ccn2)cc1,CSc1ccc(Nc2cc(C(=O)NNC(=O)C(C)(C)OC(C)=O)ccn2)cc1,4
290,CC(=O)N[C@H]1CC[C@H](NC(=O)c2c(C)[nH]c3c(-c4cc(C(F)F)ccc4OCC4CC4)ncnc23)[C@@H](C)C1,CC(=O)Cl.Cc1[nH]c2c(-c3cc(C(F)F)ccc3OCC3CC3)ncnc2c1C(=O)N[C@H]1CC[C@H](N)C[C@@H]1C,2
303,CCOC(=O)c1ccc2c(c1)cc(C(=O)OCC)n2C,CCOC(=O)c1ccc2[nH]c(C(=O)OCC)cc2c1.CI,1
304,COc1ccc(SCCCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC,CNCCCN1CCc2cc(OC)c(OC)cc2CC1=O.COc1ccc(SCCCCl)cc1OC,1
311,NCc1cn(-c2ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc2)nn1,C#CCN.[N-]=[N+]=Nc1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,4
321,COc1ccc(F)cc1C(=O)c1cnc(NC2CCN(S(=O)(=O)CCCN3CCN(C)CC3)CC2)nc1N,CN1CCNCC1.COc1ccc(F)cc1C(=O)c1cnc(NC2CCN(S(=O)(=O)CCCCl)CC2)nc1N,1
333,CCC(O)(CC)CCc1ccc(C(CC)(CC)c2ccc(OC[C@@H](O)CCC(=O)O)c(C)c2)cc1C,CCC(O)(C#Cc1ccc(C(CC)(CC)c2ccc(OC[C@@H](O)CCC(=O)O)c(C)c2)cc1C)CC,7
346,CCC(C)N1CC(c2c(C)c(Cl)cc(C(C)n3nc(C)c4c(N)ncnc43)c2OC)C1,CCC(C)=O.COc1c(C(C)n2nc(C)c3c(N)ncnc32)cc(Cl)c(C)c1C1CNC1,1
360,O=C(c1ccc(-n2nc(C(F)(F)F)c3c2CCOC3)cc1F)N1CC(O)C1,O=C(O)c1ccc(-n2nc(C(F)(F)F)c3c2CCOC3)cc1F.OC1CNC1,2
367,COc1ccc(COc2ccc(CN[C@H](C)c3ccccc3)cn2)cn1,C[C@@H](NCc1ccc(OCc2ccc(F)nc2)nc1)c1ccccc1.C[O-],1
373,CCCOc1ccc2c(c1)C(=O)c1cccc(O)c1-2,CCCOc1ccc2c(c1)C(=O)c1cccc(OC)c1-2,6
388,COc1cc(/C=C/c2n[nH]c3ccccc23)ccc1OCCN1CCOCC1,COc1cc(C=O)ccc1OCCN1CCOCC1.c1ccc([P+](Cc2n[nH]c3ccccc23)(c2ccccc2)c2ccccc2)cc1,3
416,CCOC(=O)CCCCN1CCN(CCCCNC(=O)OC(C)(C)C)CC1,CC(C)(C)OC(=O)NCCCCN1CCNCC1.CCOC(=O)CCCCBr,1
439,OCCC1OCc2cc(Cl)ccc21,O=C(O)CC1OCc2cc(Cl)ccc21,7
483,Cc1c(-c2ccccc2)c2c(c3c1[nH]c1ccc(O)cc13)C(=O)NC2=O,COc1ccc2[nH]c3c(C)c(-c4ccccc4)c4c(c3c2c1)C(=O)NC4=O,6
487,O=C1Nc2cccnc2N(C(=O)Oc2ccccc2)c2ccccc21,O=C(Cl)Oc1ccccc1.O=C1Nc2cccnc2Nc2ccccc21,2
500,NNC(=O)c1ccc(-c2csc(N=C(N)N)n2)o1,COC(=O)c1ccc(-c2csc(N=C(N)N)n2)o1.NN,2
510,CC(C)(C)OC(=O)N1Cc2cc(C3=CCOCC3)c(C3CC3)cc2C1,CC(C)(C)OC(=O)N1Cc2cc(Cl)c(C3=CCOCC3)cc2C1.CCCC[Sn](CCCC)(CCCC)C1CC1,3
518,O=C(NN=Cc1cccc2ccccc12)c1cc2ccccc2cc1O,NNC(=O)c1cc2ccccc2cc1O.O=Cc1cccc2ccccc12,1
532,Cc1cc([N+](=O)[O-])ccc1Cn1ccc(NC(=O)c2c(F)cccc2F)n1,Cc1cc([N+](=O)[O-])ccc1CBr.O=C(Nc1cc[nH]n1)c1c(F)cccc1F,1
576,CCOP(=O)(CCCCc1ccccc1)N(C)CC(=O)N1CCC[C@H]1C(=O)O,CCOP(=O)(CCCCc1ccccc1)N(C)CC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1,6
582,COC(=O)c1ccc2c(c1)CC(C)(C)C(c1cccc(C(=O)NC3CN(C(=O)OC(C)(C)C)C3)c1)N2,CC(C)(C)OC(=O)N1CC(N)C1.COC(=O)c1ccc2c(c1)CC(C)(C)C(c1cccc(C(=O)O)c1)N2,2
590,CCc1ccncc1-c1csc(-c2cccc(S(N)(=O)=O)c2)n1,CCc1ccncc1C(=O)CBr.NC(=S)c1cccc(S(N)(=O)=O)c1,4
621,CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)c1ccc(OC(F)(F)F)cc1)[C@@H](O)CC(C)(C)O2,CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)c1ccc(OC(F)(F)F)cc1)C(=O)CC(C)(C)O2,7
623,O=C(c1ccc(F)cc1)N1CCCC(O)C1,O=C(O)c1ccc(F)cc1.OC1CCCNC1,2
647,COc1ccc(N)cc1-c1cccc(CN)c1,COc1ccc([N+](=O)[O-])cc1-c1cccc(CN)c1,7
655,CC(=O)c1sc(N2CCN(Cc3ccc(F)cc3)C2=O)nc1C,CC(=O)c1sc(N2CCNC2=O)nc1C.Fc1ccc(CBr)cc1,1
668,CNC1CN(c2nc3ncc(Br)cc3c3cc(C)nn23)C1,Cc1cc2c3cc(Br)cnc3nc(N3CC(N(C)C(=O)OC(C)(C)C)C3)n2n1,6
713,CCC[C@@H](N)C(=O)N1CC(F)C1,CCC[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CC(F)C1,6
733,CC(C)(C)OC(=O)Nc1ccc(Br)cn1,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.Nc1ccc(Br)cn1,5
735,O=C(Nc1ccccc1)Nc1cccc(-c2ccc(C=C3SC(=O)NC3=O)cc2)c1,Nc1cccc(-c2ccc(C=C3SC(=O)NC3=O)cc2)c1.O=C=Nc1ccccc1,2
764,CCOC(=O)c1c(CCc2ccc(C(F)(F)F)cc2)nc2c(c1-c1ccc(C(=O)N[C@H](C)c3ccncc3)cc1)C(=O)N1CCC[C@@H]21,CCOC(=O)c1c(CCc2ccc(C(F)(F)F)cc2)nc2c(c1-c1ccc(C(=O)O)cc1)C(=O)N1CCC[C@@H]21.C[C@@H](N)c1ccncc1,2
765,C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(F)c1)c1ccc(C(=O)OC(C)(C)C)cc1,C[C@H](NC(=O)c1cc(Cl)cnc1Cl)c1ccc(C(=O)OC(C)(C)C)cc1.Oc1cccc(F)c1,1
794,CCCc1c(O)c(C(C)=O)cc(Cl)c1OCCCOCCCOc1c(C(C)=O)ccc(OCCCC(=O)O)c1CCC,CCCc1c(O)c(C(C)=O)cc(Cl)c1OCCCOCCCOc1c(C(C)=O)ccc(OCCCC(=O)OCC)c1CCC,6
795,N#Cc1cc(C(O)CNC2CCC2)cc(Br)c1N,N#Cc1cc(C(=O)CNC2CCC2)cc(Br)c1N,7
799,CCc1cnc(N2CCC(COc3ccc(-c4ccc(S(C)(=O)=O)cc4)cc3)CC2)nc1,CCc1cnc(Cl)nc1.CS(=O)(=O)c1ccc(-c2ccc(OCC3CCNCC3)cc2)cc1,1
856,c1cnc(N2CCOCC2)cn1,C1COCCN1.Nc1cnccn1,1
932,CC1CCCC([N+]2(C)CCCC2)C1,CC1CCCC(N2CCCC2)C1.CI,1
952,CCOC(=O)C1(CC)CCN(c2nc(Cl)ns2)CC1,CCOC(=O)C1(CC)CCNCC1.Clc1nsc(Cl)n1,1
958,CCCn1nc2c(N)nc3ccccc3c2c1CC(C)(C)NC(=O)c1cccnc1,CCCn1nc2c(N)nc3ccccc3c2c1CC(C)(C)N.O=C(Cl)c1cccnc1,2
965,O=S1(=O)c2ccccc2C=Cc2ccc(CO)cc21,O=C(O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C=C2,7
970,C=CCN1[C@H]2CC[C@@H](OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@]1(c1ccccc1)C[C@H]2C#N,C=CCN1C2CCC(O)C1(c1ccccc1)CC2C#N.FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,1
1076,Cc1nc(NCCCc2cccc(O)c2)nc(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(=O)OCC(C)(C)C,CC(C)(C)CO.Cc1nc(NCCCc2cccc(O)c2)nc(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(=O)O,2
1107,COCCCCC1(CNC(=O)[C@H]2C[C@H](C(=O)NCCc3ccccc3)CN(C(=O)OC(C)(C)C)C2)c2ccccc2Oc2ccccc21,COCCCCC1(CNC(=O)[C@H]2C[C@H](C(=O)O)CN(C(=O)OC(C)(C)C)C2)c2ccccc2Oc2ccccc21.NCCc1ccccc1,2
1112,COC(=O)c1ccc2c(c1)c(Cc1ccc(C(=O)O)cc1OC)cn2C,COC(=O)c1ccc(Cc2cn(C)c3ccc(C(=O)OC)cc23)c(OC)c1,6
1121,Cc1ccc(CCNC(=O)[C@H](CCCNC(=O)OC(C)(C)C)N(C)Cc2ccccc2)cc1,CN(Cc1ccccc1)[C@@H](CCCNC(=O)OC(C)(C)C)C(=O)O.Cc1ccc(CCN)cc1,2
1123,CCCc1c(C(=O)OCC)oc2cccc(OCCCNC(C)(C)C)c12,CCCc1c(C(=O)OCC)oc2cccc(OCCCN(C(=O)OC(C)(C)C)C(C)(C)C)c12,6
1147,Cn1cc(OCCCc2nc3ccccc3n2C)c(=O)c(-c2ccnn2-c2ccccc2)n1,Cn1c(CCCO)nc2ccccc21.Cn1cc(O)c(=O)c(-c2ccnn2-c2ccccc2)n1,1
1149,CC(C)(Cc1c[nH]c2c(Oc3ncccc3C#N)cccc12)NC(=O)OC(C)(C)C,CC(C)(Cc1c[nH]c2c(O)cccc12)NC(=O)OC(C)(C)C.N#Cc1cccnc1Cl,1
1190,C[C@@H]1CN(C)CCN1c1nc(Cl)nc(NNC(=O)[C@H](CC2CCCC2)CN(C=O)OCc2ccccc2)c1F,C[C@@H]1CN(C)CCN1c1nc(Cl)nc(NN)c1F.O=CN(C[C@@H](CC1CCCC1)C(=O)O)OCc1ccccc1,2
1217,Fc1cccc(OCC2CCOC2)c1Nc1nc(Cl)ncc1Cl,OCC1CCOC1.Oc1cccc(F)c1Nc1nc(Cl)ncc1Cl,1
1247,COc1ccc(CNCc2csnn2)c(OC)c1,COc1ccc(CN)c(OC)c1.O=Cc1csnn1,1
1310,O=C(N1CCC(c2ccc(S(=O)(=O)Nc3ncns3)cc2)CC1)C(F)(F)F,Nc1ncns1.O=C(N1CCC(c2ccc(S(=O)(=O)Cl)cc2)CC1)C(F)(F)F,2
1339,O=C(CC1CN2CCC1CC2)Nc1cccc(-c2ccc(CO)cc2)c1,O=C(CC1CN2CCC1CC2)Nc1cccc(Br)c1.OCc1ccc(B(O)O)cc1,3
1369,Cc1cc(Oc2ccc(Nc3cc(-c4ccc(O)cc4)nc(N)n3)cc2)ccn1,COc1ccc(-c2cc(Nc3ccc(Oc4ccnc(C)c4)cc3)nc(N)n2)cc1,6
1372,CCCNCCC(c1ccccc1)c1ccccc1,CCC=O.NCCC(c1ccccc1)c1ccccc1,1
1373,CCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)O)CCN3C=O)cc1,CCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)OC)CCN3C=O)cc1,6
1402,Cc1cccc2cc(C=O)n(C)c12,CN(C)C=O.Cc1cccc2ccn(C)c12,3
1413,C(=C1CCNCC1)c1cccc(OCc2ccccc2)c1,CC(C)(C)OC(=O)N1CCC(=Cc2cccc(OCc3ccccc3)c2)CC1,6
1441,COC(=O)C(C(=O)OC)C(Cc1c(N)cccc1C(F)(F)F)c1ccc(OC)cc1,COC(=O)C(C(=O)OC)C(Cc1c([N+](=O)[O-])cccc1C(F)(F)F)c1ccc(OC)cc1,7
1470,COc1ccc(-c2cc3nccn3c(N3CCN(c4ccc(F)cc4)CC3)n2)cc1OC,COc1ccc(-c2cc3nccn3c(Cl)n2)cc1OC.Fc1ccc(N2CCNCC2)cc1,1
1479,O=S(=O)(Cl)c1ccc(CBr)cc1,Cc1ccc(S(=O)(=O)Cl)cc1.O=C1CCC(=O)N1Br,10
1498,CCOC(=O)C(O)c1csc(NS(C)(=O)=O)n1,CCOC(=O)C(=O)c1csc(NS(C)(=O)=O)n1,7
1509,CCC(=O)[O-],Nc1ccc2[nH]c(=O)c3[nH]ccc3c2c1.O=C(Cl)c1ccccc1,2
1568,CC(C)c1noc(N2CCC(Oc3ncnc4c3cnn4-c3ccc(S(C)(=O)=O)cc3F)CC2)n1,CC(C)c1noc(N2CCC(O)CC2)n1.CS(=O)(=O)c1ccc(-n2ncc3c(Cl)ncnc32)c(F)c1,1
1575,CCOC(=O)C(Cc1cccc(OCCc2ccc(OS(C)(=O)=O)cc2)c1)OCC,CCOC(=O)C(=Cc1cccc(OCCc2ccc(OS(C)(=O)=O)cc2)c1)OCC,7
1576,CC(C)CNC[C@@H](O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,CC(C)CNC[C@@H](O)[C@H](Cc1ccc(OCc2ccccc2)cc1)NC(=O)OC(C)(C)C,6
1597,COC(=O)[C@@H](N)Cc1ccc(OC(=O)NC(C)C)cc1,COC(=O)[C@H](Cc1ccc(OC(=O)NC(C)C)cc1)NC(=O)OC(C)(C)C,6
1606,C#Cc1cc(C=O)c(N2C[C@H](C)O[C@H](C)C2)c(F)c1F,C[C@H]1CN(c2c(C=O)cc(C#C[Si](C)(C)C)c(F)c2F)C[C@@H](C)O1,6
1617,O=C(Nc1ccccc1OCCCO)c1cc(Cl)c(OCc2ccccc2)c(Cl)c1,CC(C)(C)[Si](C)(C)OCCCOc1ccccc1NC(=O)c1cc(Cl)c(OCc2ccccc2)c(Cl)c1,6
1618,COc1ccc(N(C(=O)CN2C(=O)Cc3nnc(C4CCCCC4)n3-c3ccccc32)C(C)C)cn1,COc1ccc(N(C(=O)CBr)C(C)C)cn1.O=C1Cc2nnc(C3CCCCC3)n2-c2ccccc2N1,1
1626,C[C@H](NC(=O)c1ncc2onc(-c3ccccc3)c2c1O)C(=O)O,CCOC(=O)c1ncc2onc(-c3ccccc3)c2c1O.C[C@H](N)C(=O)O,2
1650,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,C=O.COc1cc2c(cc1OC)CC(=O)N(CCCNC[C@H]1Cc3cc(OC)c(OC)cc31)CC2,1
1655,O=C(c1ccc(F)cc1)C1CCN(CCCO)CC1,O=C(c1ccc(F)cc1)C1CCNCC1.OCCCCl,1
1660,CCC(C)(Br)C(=O)OC(C)(C)C,C=C(C)C.CCC(C)(Br)C(=O)O,1
1671,COc1ccccc1CNCCCCNC(=O)c1ccc(CN(Cc2ncc[nH]2)Cc2ncc[nH]2)cc1,COc1ccccc1C=O.NCCCCNC(=O)c1ccc(CN(Cc2ncc[nH]2)Cc2ncc[nH]2)cc1,1
1683,CC1C[N+](C)(Cc2ccccc2)CCC1=O,CC1CN(Cc2ccccc2)CCC1=O.CI,1
1684,CN1C(=O)C(CCN2CCN(c3ccc(F)cc3)CC2)Sc2ccccc21,CN1C(=O)C(CCCl)Sc2ccccc21.Fc1ccc(N2CCNCC2)cc1,1
1691,CCC(O)(CC)Cn1nc(-c2c(C)n(CC(=O)O)c3ccc(F)cc23)c2ccccc2c1=O,CCC(O)(CC)Cn1nc(-c2c(C)n(CC(=O)OC(C)(C)C)c3ccc(F)cc23)c2ccccc2c1=O,6
1702,CCOC(=O)[C@@H](CCCCCCC1CCN(C(=O)OCc2ccccc2)CC1)N[C@H]1COc2ccccc2N(CC(=O)OC(C)(C)C)C1=O,CC(C)(C)OC(=O)CN1C(=O)[C@@H](N)COc2ccccc21.CCOC(=O)C(=O)CCCCCCC1CCN(C(=O)OCc2ccccc2)CC1,1
1726,COC(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccncc3)c2)cc1F,COC(=O)c1ccc(B(O)O)cc1F.Nc1ncc(Br)cc1C(=O)Nc1ccncc1,3
1730,CCc1c(-c2cn(-c3cc(C(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4C)ccc3C)cn2)cnn1-c1ccccc1,CCc1c(-c2cn(-c3cc(C(=O)OC)ccc3C)cn2)cnn1-c1ccccc1.Cc1c(N)cc(C(C)(C)C)cc1NS(C)(=O)=O,2
1732,Cn1c(Nc2nc3ccc(Cl)cc3s2)nc2cc(C(=O)N[C@@H]3CCNC3)ccc21,Cn1c(Nc2nc3ccc(Cl)cc3s2)nc2cc(C(=O)N[C@@H]3CCN(C(=O)OC(C)(C)C)C3)ccc21,6
1737,NNC(=O)c1ncccc1O,COC(=O)c1ncccc1O.NN,2
1758,COC(=O)C(C)c1ccc(-c2ccc(-c3nc(C(N)=O)c(C)nc3C)cc2)c(Cl)c1,COC(=O)C(C)c1ccc(B2OC(C)(C)C(C)(C)O2)c(Cl)c1.Cc1nc(C)c(-c2ccc(OS(=O)(=O)C(F)(F)F)cc2)nc1C(N)=O,3
1780,CC(=O)Nc1cc2c3c(c1)c1c(n3CCC2)CCCC1,CC(=O)OC(C)=O.Nc1cc2c3c(c1)c1c(n3CCC2)CCCC1,2
1783,CC(=O)C(C(N)=O)c1ccc(C(C)C)cc1,CC(C)c1ccc(C(C(N)=O)C2(C)OCCO2)cc1,6
1793,CN1CCN(C(=O)c2cc3nccc(Oc4ccc(NC(=O)c5ccnn(-c6ccc(F)cc6)c5=O)cc4F)c3s2)CC1,CN1CCNCC1.O=C(O)c1cc2nccc(Oc3ccc(NC(=O)c4ccnn(-c5ccc(F)cc5)c4=O)cc3F)c2s1,2
1795,CC(C)Oc1ccc(-c2nc(-c3cccc(CCCC(=O)O)c3C(F)(F)F)no2)cc1C#N,CCOC(=O)CCCc1cccc(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)c1C(F)(F)F,6
1835,CC(=O)NCCn1ccc2c1-c1ccc(Cl)cc1CC2,CC(=O)NCCN.O=CCC1CCc2cc(Cl)ccc2C1=O,4
1862,COC(=O)NC(=S)Nc1ccc(SCSC)cc1[N+](=O)[O-],COC(=O)N=C=S.CSCSc1ccc(N)c([N+](=O)[O-])c1,2
1880,O=C1CCc2cc(C(O)c3ccccc3)ccc2N1,O=C1CCc2cc(C(=O)c3ccccc3)ccc2N1,7
1915,CCOc1cc(CCN2CCN(C)CC2)ccc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,CCOc1cc(CCN2CCN(C)CC2)ccc1N.COc1ccc(-c2nc3ccccn3c2-c2ccnc(Cl)n2)cc1C(=O)Nc1c(F)cccc1F,1
1923,COCCc1cc(C)c(C)c(C(=O)OC)c1,CI.COC(=O)c1cc(CCO)cc(C)c1C,1
2020,CCC(C)(C)Cc1cn(S(=O)(=O)N(C)C)cn1,CCC(C)(C)Cc1c[nH]cn1.CN(C)S(=O)(=O)Cl,2
2025,OCCc1nccn1CCCc1ccc(O)cc1,OCCc1nccn1CCCc1ccc(OCc2ccccc2)cc1,6
2029,Oc1ccc2c(N=Cc3ccccc3)cccc2c1,Nc1cccc2cc(O)ccc12.O=Cc1ccccc1,1
2045,CCOC(=O)COc1cc(C2CCCN(C(=O)c3sc(-c4ccc(C(F)(F)F)cc4)nc3C)C2)ccc1C,CCOC(=O)COc1cc(C2CCCNC2)ccc1C.Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)O,2
2067,COc1ccc(C2CNC2)cc1,COc1ccc(C2CN(C(=O)OC(C)(C)C)C2)cc1,6
2152,O=C(O)c1cccc2ncsc12,COC(=O)c1cccc2ncsc12,6
2165,COc1cc(O)c2c(c1C(=O)NCc1ccc(C)c3ccccc13)OC1=CC(O)=C(C(C)=O)C(=O)[C@]12C,COc1cc(O)c2c(c1C(N)=O)OC1=CC(O)=C(C(C)=O)C(=O)[C@]12C.Cc1ccc(C=O)c2ccccc12,1
2189,CC(C)(CC1(C(F)(F)F)CO1)c1cccc(C2(C)OCCO2)c1,CC(C)(CC(=O)C(F)(F)F)c1cccc(C2(C)OCCO2)c1.C[S+](C)(C)=O,4
2221,Cc1ccc2c(c1)C(C(=O)Nc1c(C(C)C)cccc1C(C)C)c1ccccc1CO2,CC(C)c1cccc(C(C)C)c1N.Cc1ccc2c(c1)C(C(=O)O)c1ccccc1CO2,2
2286,CCOC(=O)c1cc(C)ccc1F,CC(=O)Cl.Cc1ccc(F)c(C(=O)O)c1,2
2287,Clc1ccc([C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1Cc1ccc(-c2ncccn2)s1,CCCC[Sn](CCCC)(CCCC)c1ncccn1.Clc1ccc([C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1Cc1ccc(Br)s1,3
