mol_no,input,output,reaction_type
2288,NCCC1(O)C2=C(C=CCS2)Oc2ccccc21,N#CCC1(O)C2=C(C=CCS2)Oc2ccccc21,7
2303,N=C(N)N1CCCc2ccc(OCC3(C(=O)O)CCN(c4ccncc4)CC3)cc2C1,CCOC(=O)C1(COc2ccc3c(c2)CN(C(=N)N)CCC3)CCN(c2ccncc2)CC1,6
2310,CN1CCN(Cc2c(CO)c(Cl)nc3cc4c(cc23)OCCO4)CC1,COC(=O)c1c(Cl)nc2cc3c(cc2c1CN1CCN(C)CC1)OCCO3,7
2328,CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)OCC(Cl)(Cl)Cl,CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)O.OCC(Cl)(Cl)Cl,2
2453,CCOC(=O)C(C)(C)c1cc(Br)c2[nH]c(-c3ccc(OC(F)(F)F)cc3)cc2c1,CCOC(=O)C(C)(C)c1cc(Br)c(N)c(C#Cc2ccc(OC(F)(F)F)cc2)c1,4
2458,Cc1cc(Oc2ccccc2NC(=O)Nc2ccc(C3CC3)cc2)n(-c2ccccc2Cl)n1,Cc1cc(Oc2ccccc2N=C=O)n(-c2ccccc2Cl)n1.Nc1ccc(C2CC2)cc1,2
2464,CC1(C)CC(O)CC(C)(C)O1,CC1(C)CC(=O)CC(C)(C)O1,7
2516,CCCN(CCC)C(=O)c1cc(CC#N)cc(C(=O)OCC)c1,CCCN(CCC)C(=O)c1cc(CBr)cc(C(=O)OCC)c1.[C-]#N,9
2542,C=CC(O)(c1cc(Cl)c(Cl)c(Cl)c1)C(F)(F)F,C=C[Mg+].O=C(c1cc(Cl)c(Cl)c(Cl)c1)C(F)(F)F,3
2609,O=C1CCC(N2Cc3cc(CNC(=O)Nc4cc(Cl)cc(Cl)c4)ccc3C2=O)C(=O)N1,NCc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O.O=C=Nc1cc(Cl)cc(Cl)c1,2
2614,CCCC(CC(=O)O)Cc1ccc(F)c(OC)c1,CCCC(CC(=O)OCC)Cc1ccc(F)c(OC)c1,6
2620,C#CCN(CC=O)C(=O)Nc1ncc(I)s1,C#CCNCC=O.O=C=Nc1ncc(I)s1,2
2625,CCOC(=O)/C=C/c1c(O)c(=O)[nH]c2cc(Cl)ccc2c1=O,CCOC(=O)C=Cc1c(OC)c(=O)[nH]c2cc(Cl)ccc2c1=O,6
2650,COC(=O)c1ccc(Nc2ncc(-c3ccc(OC)cc3)cn2)cc1,COC(=O)c1ccc(Nc2ncc(Br)cn2)cc1.COc1ccc(B(O)O)cc1,3
2688,Cc1ccc2cccc(OCc3c(Cl)ccc([N+](=O)[O-])c3Cl)c2n1,Cc1ccc2cccc(O)c2n1.O=[N+]([O-])c1ccc(Cl)c(CCl)c1Cl,1
2689,CC(C)(O)C#Cc1cccc(Br)n1,C#Cc1cccc(Br)n1.CC(C)=O,3
2692,COCCOc1ccc(C(=O)Nc2sc(Nc3ccnc(F)c3)nc2C(N)=O)cc1[N+](=O)[O-],COCCOc1ccc(C(=O)O)cc1[N+](=O)[O-].NC(=O)c1nc(Nc2ccnc(F)c2)sc1N,2
2732,O=[N+]([O-])c1ccc(OCCn2cccn2)cc1,O=[N+]([O-])c1ccc(F)cc1.OCCn1cccn1,1
2737,CC[C@H](C)[C@H](N)C(=O)N(C(=O)[C@@H]1CCCN1CC(=O)c1ccc(-c2ccccc2)cc1)C(C)(C)C,CC[C@H](C)[C@H](N)C(=O)NC(C)(C)C.O=C(CN1CCC[C@H]1C(=O)O)c1ccc(-c2ccccc2)cc1,2
2751,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)nc1N,NC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)nc1N,9
2755,COc1cnc(Cn2ccnc2-c2ncccn2)c(OC)n1,COc1cnc(Cn2ccnc2-c2ncccn2)c(Cl)n1.C[O-],1
2760,O=C(O)[C@@H]1C[C@H]1c1ccncc1,CCOC(=O)[C@@H]1C[C@H]1c1ccncc1,6
2864,COc1cccc(CN2CCCCC2=O)c1,COc1cccc(CCl)c1.O=C1CCCCN1,1
2867,O=C1CCN(c2ccc(-c3c4cccc(C(F)(F)F)c4nn3Cc3c(F)cc(F)cc3F)cc2)CC1,Fc1cc(F)c(Cn2nc3c(C(F)(F)F)cccc3c2-c2ccc(N3CCC4(CC3)OCCO4)cc2)c(F)c1,6
2906,Cc1ccccc1NC(=O)c1c(N)cccc1Cl,Cc1ccccc1NC(=O)c1c(Cl)cccc1[N+](=O)[O-],7
2954,O=C(c1cc(Cl)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21,COc1c(Cl)cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc1Cl,6
2955,CC(C)(C)OC(=O)N1CC2CN(Cc3cc4nc(Cl)nc(N5CCOCC5)c4s3)CC2C1,CC(C)(C)OC(=O)N1CC2CNCC2C1.Clc1nc(N2CCOCC2)c2sc(CBr)cc2n1,1
2957,Cn1c(CN2CC(C3CCOCC3)C2)nc2c(N3CCOCC3)nc(Cl)nc21,C1CC(C2CNC2)CCO1.Cn1c(C=O)nc2c(N3CCOCC3)nc(Cl)nc21,1
3015,C=CCc1cnc(N)cn1,CN(C)C=O.Nc1cnc(Br)cn1,3
3017,CCCCCc1cccc(CNC(=O)c2ccc(C)nc2N)c1,CCCCCc1cccc(CN)c1.Cc1ccc(C(=O)O)c(N)n1,2
3019,CCN1CCN(c2ccc(CN3C(=O)C(CC(C)C)n4c3nc3ccccc3c4=O)cc2)CC1,CC(C)CC1C(=O)N(Cc2ccc(N3CCNCC3)cc2)c2nc3ccccc3c(=O)n21.CCI,1
3027,CCC(CC)(c1ccc(OCC(O[Si](C)(C)C(C)(C)C)C(C)(C)C)c(C)c1)c1cc(C)c(CO)s1,CCC(CC)(c1ccc(OCC(O[Si](C)(C)C(C)(C)C)C(C)(C)C)c(C)c1)c1cc(C)c(C(=O)OC)s1,7
3034,CN1CCN(c2ccc(-c3ccc4c(c3)C=C(C(=O)Nc3ccc(CN(C)C5CCOCC5)cc3)CCO4)cc2)CC1,CN(Cc1ccc(N)cc1)C1CCOCC1.CN1CCN(c2ccc(-c3ccc4c(c3)C=C(C(=O)O)CCO4)cc2)CC1,2
3043,COCC1CCCN(c2nc3cc(C(=O)O)ccc3nc2-c2ccc(F)cc2)C1,COCC1CCCN(c2nc3cc(C(=O)OC)ccc3nc2-c2ccc(F)cc2)C1,6
3045,COC[C@H](C)COCc1ccc([C@@]2(O)CCN(C(=O)OC(C)(C)C)C[C@@H]2c2ccc(-c3ccccc3CCN)cc2C)cc1,COC[C@H](C)COCc1ccc([C@@]2(O)CCN(C(=O)OC(C)(C)C)C[C@@H]2c2ccc(-c3ccccc3CCNC(=O)OCc3ccccc3)cc2C)cc1,6
3050,CC(C)(C)OC(=O)N1CCC(NCc2ccc(Cl)cc2Cl)CC1,CC(C)(C)OC(=O)N1CCC(=O)CC1.NCc1ccc(Cl)cc1Cl,1
3060,COc1cccc(NC(=O)C(C)(C)c2ccc(S(=O)(=O)/C=C/C#N)cc2)c1,CC(C)(C(=O)O)c1ccc(S(=O)(=O)/C=C/C#N)cc1.COc1cccc(N)c1,2
3077,CCOC(=O)CNC(=O)c1ccc(S(=O)(=O)Nc2ccccc2Oc2ccc(Br)cc2Cl)cc1,CCOC(=O)CN.O=C(O)c1ccc(S(=O)(=O)Nc2ccccc2Oc2ccc(Br)cc2Cl)cc1,2
3082,O=C1Nc2ccccc2OC1=Cc1ccc[nH]1,O=C1COc2ccccc2N1.O=Cc1ccc[nH]1,3
3133,O=C(N[C@@H]1CN2CCC1CC2)c1ccccc1Cc1ccccc1,NC1CN2CCC1CC2.O=C(O)c1ccccc1Cc1ccccc1,2
3139,CS(=O)(=O)c1cccc(-c2nnc(-c3cc(C(=O)O)nn3-c3ccccc3Cl)o2)c1,COC(=O)c1cc(-c2nnc(-c3cccc(S(C)(=O)=O)c3)o2)n(-c2ccccc2Cl)n1,6
3148,CS(=O)(=O)c1cccc(NC(=O)c2cnn3c(C(F)(F)F)cc(-c4ccc(C(F)(F)F)c(Cl)c4)nc23)c1,CS(=O)(=O)c1cccc(N)c1.O=C(O)c1cnn2c(C(F)(F)F)cc(-c3ccc(C(F)(F)F)c(Cl)c3)nc12,2
3149,CCc1cnc(Cl)c(-n2ncc(C(=O)O)c2C)c1,CCOC(=O)c1cnn(-c2cc(CC)cnc2Cl)c1C,6
3206,CCN(c1cncc(C(=O)O)c1C)C1CCOCC1,CCN(c1cncc(C(=O)OC)c1C)C1CCOCC1,6
3231,CSc1nccc(-c2ccc(Cl)cc2)n1,CSc1nccc(Cl)n1.OB(O)c1ccc(Cl)cc1,3
3244,COc1cncnc1N1CCN(CCCc2c[nH]c3ccc(NC(=O)C(F)(F)F)cc23)CC1,COc1cncnc1N1CCN(CCCc2c[nH]c3ccc(N)cc23)CC1.O=C(OC(=O)C(F)(F)F)C(F)(F)F,5
3245,NCCC[C@H](NC(=O)c1cccn(Cc2ccccc2C(F)(F)F)c1=O)C(=O)O,CC(C)(C)OC(=O)NCCC[C@H](NC(=O)c1cccn(Cc2ccccc2C(F)(F)F)c1=O)C(=O)O,6
3265,CN(C)CCCN1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccccc3Oc3ccc(Cl)cc3Cl)cc2)CC1,CN(C)CCCN1CCNCC1.O=C(O)c1ccc(S(=O)(=O)Nc2ccccc2Oc2ccc(Cl)cc2Cl)cc1,2
3281,COC(=O)COc1ccc(OC/C=C(/c2ccc(Cl)cc2)c2ccc(C#CCn3cccn3)cc2)cc1C,C#CCn1cccn1.COC(=O)COc1ccc(OC/C=C(/c2ccc(Cl)cc2)c2ccc(I)cc2)cc1C,3
3299,CN(Cc1cccc(Nc2sc(-c3ccc(F)cc3)cc2C(N)=O)n1)C(=O)OC(C)(C)C,CN(Cc1cccc(Br)n1)C(=O)OC(C)(C)C.NC(=O)c1cc(-c2ccc(F)cc2)sc1N,1
3316,CNC(=O)C(Cc1ccc2ccccc2c1)N1CCN(C(=O)C(N)Cc2ccc(F)cc2)C(COC)C1,CNC(=O)C(Cc1ccc2ccccc2c1)N1CCN(C(=O)C(Cc2ccc(F)cc2)NC(=O)OC(C)(C)C)C(COC)C1,6
3325,COc1ccc(NC(=O)Nc2ccc(Br)cc2)cc1-c1c(F)cnn1C,COc1ccc(N)cc1-c1c(F)cnn1C.O=C=Nc1ccc(Br)cc1,2
3333,NC(=O)c1ccsc1-c1n[nH]c2c(F)c(-c3ccc(N)c(F)c3)ccc12,CC(C)(C)OC(=O)Nc1ccc(-c2ccc3c(-c4sccc4C(N)=O)n[nH]c3c2F)cc1F,6
3352,O=c1c2ccccc2nc(S(=O)Cc2ccncc2)n1-c1ccccc1,O=C(OO)c1cccc(Cl)c1.O=c1c2ccccc2nc(SCc2ccncc2)n1-c1ccccc1,8
3381,CCn1cc(-c2cccc(NC(=O)Nc3ccccc3Cl)c2)c(-c2ccncc2)n1,CCn1cc(-c2cccc(N)c2)c(-c2ccncc2)n1.O=C=Nc1ccccc1Cl,2
3392,C[C@H](O)C(=O)N1CCN(c2nc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nc3n2CC(F)(F)F)C[C@H]1C,C[C@@H]1CN(c2nc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nc3n2CC(F)(F)F)CCN1.C[C@H](O)C(=O)O,2
3399,CCCO[C@H]1CCC[C@H]([NH3+])C(=O)O[C@@H](C)[C@@H]1CCC(C)C,CCCO[C@H]1CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O[C@@H](C)[C@@H]1CCC(C)C.ClCCl,6
3411,Cc1ccc(Sc2cc(C(=O)O)co2)cc1,Cc1ccc(S)cc1.O=C(O)c1coc(Br)c1,1
3448,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c(C2(C)CC(C(F)(F)F)OC(N)=N2)c1,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@]2(C)C[C@@H](C(F)(F)F)OC(NC(=O)c3ccccc3)=N2)c1,6
3460,CNc1nc(C2(C(=O)O)C=CON2)cs1,CCOC(=O)C1(c2csc(NC)n2)C=CON1,6
3464,C=CCO[C@H]1CN(c2nc(-c3ncnn3C)c(C(=O)OC)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,C=CCO[C@H]1CNCC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl.COC(=O)c1sc(Cl)nc1-c1ncnn1C,1
3481,CCCCCCCCC(CC)Nc1ncnc(CC)c1Cl,CCCCCCCCC(N)CC.CCc1ncnc(Cl)c1Cl,1
3485,COc1ccc(-c2ccnc3[nH]ccc23)cc1OC,COc1ccc(B(O)O)cc1OC.Clc1ccnc2[nH]ccc12,3
3495,CC(=O)NC(CSC(=O)c1ccc(C)cc1)C(=O)O,CC(=O)N[C@@H](CS)C(=O)O.Cc1ccc(C(=O)Cl)cc1,1
3497,COC1Cc2c(C)c(O)c(C)c(C)c2OC12CCC2,CI.Cc1c(C)c2c(c(C)c1O)CC(O)C1(CCC1)O2,1
3501,Cc1c(Cl)nc(NC[C@@H]2COCCN2Cc2ccccc2)c(=O)n1CC(=O)OCc1ccccc1,Cc1c(Cl)nc(Cl)c(=O)n1CC(=O)OCc1ccccc1.NC[C@@H]1COCCN1Cc1ccccc1,1
3529,O=C(Nc1ccc(C(=O)N2Cc3ccccc3Cc3ccccc32)cc1)c1ccc(F)cc1F,Nc1ccc(C(=O)N2Cc3ccccc3Cc3ccccc32)cc1.O=C(Cl)c1ccc(F)cc1F,2
3532,CC1CCCCC1Nc1c(C(F)(F)F)cc([N+](=O)[O-])c2nc(C(F)(F)F)[nH]c12,CC1CCCCC1N.O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c2[nH]c(C(F)(F)F)nc12,1
3548,Cc1c(NC(=O)c2ccccc2F)cn2ncc(C#N)c(Nc3ccc(Oc4ccccc4)cc3)c12,Cc1c(N)cn2ncc(C#N)c(Nc3ccc(Oc4ccccc4)cc3)c12.O=C(O)c1ccccc1F,2
3643,CCOC(=O)c1cc2cc(Br)ccc2n1Cc1ccc(C)cc1,CCOC(=O)c1cc2cc(Br)ccc2[nH]1.Cc1ccc(CBr)cc1,1
3677,CC(C)Nc1cncnc1,CC(C)=O.Nc1cncnc1.O=[Pt]=O,1
3767,CN(C1(C(=O)O)CCCC1)S(=O)(=O)c1ccc2c(Cl)cnc(NC(=N)N)c2c1,CCOC(=O)C1(N(C)S(=O)(=O)c2ccc3c(Cl)cnc(NC(=N)N)c3c2)CCCC1,6
3771,COc1ccc(Nc2nc(N3CCC(NC(=O)c4ccc5[nH]ncc5c4)C3)nc3scnc23)cc1OC,COc1ccc(Nc2nc(N3CCC(N)C3)nc3scnc23)cc1OC.O=C(O)c1ccc2[nH]ncc2c1,2
3773,CC(C)c1nn(Cc2cc(=O)[nH]c3c(F)c(F)ccc23)c2ccccc12,CC(C)c1n[nH]c2ccccc12.O=c1cc(CBr)c2ccc(F)c(F)c2[nH]1,1
3787,C[C@@H](Cn1ccc(-c2ccc(C#N)c(Cl)c2)n1)NC(=O)c1cscn1,C[C@H](N)Cn1ccc(-c2ccc(C#N)c(Cl)c2)n1.O=C(O)c1cscn1,2
3815,Cc1ccccc1[C@H](C/C(=N\O)C1CCC(=O)N(C)C1)c1ccc(N2CCC(C(=O)[O-])CC2)cc1,Cc1ccccc1[C@H](CC(=O)C1CCC(=O)N(C)C1)c1ccc(N2CCC(C(=O)[O-])CC2)cc1.NO,9
3838,Cc1ccc(C(=O)Nc2ccc3[nH]ccc3c2)cc1Cl,Cc1ccc(C(=O)O)cc1Cl.Nc1ccc2[nH]ccc2c1,2
3883,CC(O)(CN1CCCCC1)C1(c2ccc(Cl)c(Cl)c2)CCC1,C[Mg+].O=C(CN1CCCCC1)C1(c2ccc(Cl)c(Cl)c2)CCC1,3
3885,O=C1C(c2cc3c(cc2O)OCC3)c2cc(F)ccc2N1C(c1ccccc1)c1ccccc1,O=C1N(C(c2ccccc2)c2ccccc2)c2ccc(F)cc2C1(O)c1cc2c(cc1O)OCC2,9
3934,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](OC(=O)c1ccc(OCCCCCC)cc1)c1ccnc2ccccc12,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12.CCCCCCOc1ccc(C(=O)O)cc1,2
3995,COc1ccc2c(/C=C/C(N)=O)cc(=O)n(CC=O)c2c1,COc1ccc2c(/C=C/C(N)=O)cc(=O)n(CC3OCCO3)c2c1,6
4001,CCCNc1nc(Nc2cccc(F)c2)ncc1C#C[C@@H]1CCC[C@H](N)C1,CCCNc1nc(Nc2cccc(F)c2)ncc1C#C[C@@H]1CCC[C@H](NC(=O)OC(C)(C)C)C1,6
4024,Cn1c(=O)c2cc(C(=O)O)cn2c2ccccc21,CCOC(=O)c1cc2c(=O)n(C)c3ccccc3n2c1,6
4052,O=C(O)C1C(C(=O)Nc2ccc(Cl)cc2)C1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,CCOC(=O)C1C(C(=O)Nc2ccc(Cl)cc2)C1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,6
4071,CN1CCC(CC(C(=O)O)c2ccc(/C=C/C(=O)Nc3ccccc3NC(=O)OC(C)(C)C)cc2)CC1,COC(=O)C(CC1CCN(C)CC1)c1ccc(/C=C/C(=O)Nc2ccccc2NC(=O)OC(C)(C)C)cc1,6
4076,O=[N+]([O-])c1cc(C2CCCCC2)ccc1Nc1cccc(-n2cccc2)c1,O=[N+]([O-])c1cc(C2CCCCC2)ccc1Nc1cccc(Br)c1.c1cc[nH]c1,1
4080,N#Cc1cc(F)cc(-c2nc(-c3ccc(C(=O)O)cn3)no2)c1,CC(C)(C)OC(=O)c1ccc(-c2noc(-c3cc(F)cc(C#N)c3)n2)nc1,6
4092,COCOCCOc1ccc(F)c(F)c1C=O,COCOCCBr.O=Cc1c(O)ccc(F)c1F,1
4094,CCCCC(Oc1ccc(CC(=O)O)cc1)c1cccc(-c2ccc(C(F)(F)F)cc2)n1,CCCCC(Oc1ccc(CC(=O)OC)cc1)c1cccc(-c2ccc(C(F)(F)F)cc2)n1,6
4119,OC(c1ccccc1)(c1ccccc1)C1CCN(CCNc2ncccn2)CC1,Clc1ncccn1.NCCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1,1
4140,C=CCCCC1=CC=CC1,C=CCCCBr.[Mg+]C1=CC=CC1,3
4192,CC(C)(C)OC(=O)NCCc1ccccc1N,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.NCCc1ccccc1N,5
4222,N[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(Cl)sc2[nH]1,CC(C)(C)OC(=O)N[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(Cl)sc2[nH]1,6
4250,COc1ccc(Cl)cc1C(=O)/N=c1\sc(C(C)(C)C)cn-1C[C@H]1CCN1,COc1ccc(Cl)cc1C(=O)/N=c1\sc(C(C)(C)C)cn-1C[C@@H]1CCN1C(=O)OC(C)(C)C,6
4264,COC(=O)c1ccnc(OC)c1,COC(=O)c1ccnc(Cl)c1.C[O-],1
4275,Cc1ccc(NC(=O)OCc2ccccc2)cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1Cl,Cc1ccc(N)cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1Cl.O=C(Cl)OCc1ccccc1,2
4313,CCN1CCc2cc(OC)c(OC)cc2C1C1CC(C(=O)N2CCN(c3ncnc4c3cnn4Cc3ccncc3)CC2)CCC12c1cc(OC)c(OC)cc1CCN2C(=O)CCN(C)C=O,CCN1CCc2cc(OC)c(OC)cc2C1C1CC(C(=O)N2CCN(c3ncnc4c3cnn4Cc3ccncc3)CC2)CCC12c1cc(OC)c(OC)cc1CCN2C(=O)CCNC.O=CO,2
4328,COC(OC)c1ccc2c(n1)NCCC2,COC(OC)c1ccc2cccnc2n1,7
4333,CCc1c(C(=O)C(N)=O)c2cc(OCCCC(=O)O)ccc2n1Cc1ccccc1,CCc1c(C(=O)C(N)=O)c2cc(OCCCC(=O)OC(C)(C)C)ccc2n1Cc1ccccc1,6
4336,COc1cc(N)c(Cl)cc1C(=O)NC1CN(C)N(C(C)C)C1,CC(C)N1CC(N)CN1C.COc1cc(N)c(Cl)cc1C(=O)O,2
4362,Oc1cc(F)cc(-c2ccc3scnc3c2)c1,CC1(C)OB(c2ccc3scnc3c2)OC1(C)C.Oc1cc(F)cc(Br)c1,3
4368,COc1ccc(-c2nc(C(=O)NCC(=O)O)c(O)c3c(-c4ccc(Cl)cc4)nsc23)cc1,CCOC(=O)c1nc(-c2ccc(OC)cc2)c2snc(-c3ccc(Cl)cc3)c2c1O.NCC(=O)O,2
4387,O=C(CCCSc1nc[nH]n1)NC/C=C\COc1cc(CN2CCCCC2)ccn1,O=C(CCCCl)NC/C=C\COc1cc(CN2CCCCC2)ccn1.Sc1nc[nH]n1,1
4403,COc1ccc(-c2ccnc3[nH]c(-c4cncc(C(=O)N5CCN(C)CC5)c4)nc23)cc1,CN1CCNCC1.COc1ccc(-c2ccnc3[nH]c(-c4cncc(C(=O)O)c4)nc23)cc1,2
4404,CC(C)(C)c1ccc(CCC2CCCC2=O)c(C(C)(C)C)c1,COC(=O)C1(CCc2ccc(C(C)(C)C)cc2C(C)(C)C)CCCC1=O,9
4411,CCOCc1nc2c(N)nc3cc(-c4ccccc4)ccc3c2n1CC1CCNCC1,CCOCc1nc2c(N)nc3cc(-c4ccccc4)ccc3c2n1CC1CCN(C(=O)OC(C)(C)C)CC1,6
4412,Nc1ccc2c(c1)OCCN2C(=O)c1cc(Cl)c(O)c(Cl)c1,O=C(c1cc(Cl)c(O)c(Cl)c1)N1CCOc2cc([N+](=O)[O-])ccc21,7
4439,N#Cc1ccc(COc2cc(Cl)ccc2-c2nc3cc(F)c(F)cc3n2CC2CCCCC2)cc1F,N#Cc1ccc(CBr)cc1F.Oc1cc(Cl)ccc1-c1nc2cc(F)c(F)cc2n1CC1CCCCC1,1
4503,O=C(O)c1cncc(-c2ccoc2)c1,COC(=O)c1cncc(-c2ccoc2)c1,6
4522,CCOC(=O)C(C#N)=C1CCN(Cc2ccccc2)CC1(C)c1cccc(Cl)c1,CC1(c2cccc(Cl)c2)CN(Cc2ccccc2)CCC1=O.CCOC(=O)CC#N,3
4568,CN(C)S(=O)(=O)N1CCN(S(=O)(=O)c2ccc(Nc3ccnc4cc(C(F)(F)F)ccc34)cc2)CC1,CN(C)S(=O)(=O)Cl.O=S(=O)(c1ccc(Nc2ccnc3cc(C(F)(F)F)ccc23)cc1)N1CCNCC1,2
4601,CCCCCCCCCCCC(=O)Nc1ccc(C(=O)O)cc1,CCCCCCCCCCCC(=O)Cl.Nc1ccc(C(=O)O)cc1,2
4613,COc1cc(C2Nc3ccc(C(=O)O)cc3CC2(C)C)cc(N2CCOCC2)c1,CCOC(=O)c1ccc2c(c1)CC(C)(C)C(c1cc(OC)cc(N3CCOCC3)c1)N2,6
4619,COCc1cc(OC2CCNCC2)nc(C(F)(F)F)c1,COCc1cc(OC2CCN(C(=O)OC(C)(C)C)CC2)nc(C(F)(F)F)c1,6
4633,COC(=O)C(OC(C)(C)C)c1c(C)nc2sc3c(c2c1-c1ccc2c(c1Cl)CCCO2)CCCC3,CC1(C)OB(c2ccc3c(c2Cl)CCCO3)OC1(C)C.COC(=O)C(OC(C)(C)C)c1c(C)nc2sc3c(c2c1I)CCCC3,3
4661,CC(=O)N1C[C@H](O)C[C@H]1C(=O)N1C[C@@H](N(C)C(=O)C(C)(C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H](c2ccccc2)C1,CC(=O)N1C[C@H](O)C[C@H]1C(=O)O.CN(C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H]1CNC[C@H]1c1ccccc1,2
4704,COC(=O)C1C(c2c(OC)cc(OC)cc2OC)CC(=O)N1C,CI.COC(=O)C1NC(=O)CC1c1c(OC)cc(OC)cc1OC,1
4722,COc1cc(N2CCN(CCO)CC2)ccc1Nc1ncc(C)c(-c2cnc3ccccn23)n1,COc1cc(N2CCN(CCO)CC2)ccc1N.Cc1cnc(Cl)nc1-c1cnc2ccccn12,1
4731,CCN(C)c1ccc(-c2nc3ccc(OC)cc3s2)cn1,CCNC.COc1ccc2nc(-c3ccc(F)nc3)sc2c1,1
4782,COC1(OC)CCC(C)(CO)CC1,COC(=O)C1(C)CCC(OC)(OC)CC1,7
4787,CC(C)C=CN(C(=O)n1cccn1)C(C)(C)C,CC(C)C=CN(C(=O)Cl)C(C)(C)C.c1cn[nH]c1,1
4794,O=CCCCCCCCC1(CCCCc2ccccc2)OCCO1,OCCCCCCCCC1(CCCCc2ccccc2)OCCO1,8
