mol_no,input,output,reaction_type
7273,CCOC(C)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CO[Si](C)(C)C(C)(C)C)[C@@]4(C)CC[C@@H]32)C1(C)C,C=COCC.C[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
7290,CCN(CC)C(=O)CCCC=C(c1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1)c1cccnc1,CCNCC.O=C(O)CCCC=C(c1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1)c1cccnc1,2
7292,CCCCC(CC)COC(=O)CCSc1ccc2c(ccc3nnnn32)c1,Brc1ccc2c(ccc3nnnn32)c1.CCCCC(CC)COC(=O)CCS,1
7315,OC1(c2ccc3ccccc3c2)CC2CCC(C1)N2,OC1(c2ccc3ccccc3c2)CC2CCC(C1)N2Cc1ccccc1,6
7336,CCc1cccc(-c2ccc(N)cc2)c1,CCc1cccc(B(O)O)c1.Nc1ccc(Br)cc1,3
7361,CC(C)c1nn2ccccc2c1C(O)C(C)C,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,7
7372,CCCCSC(Cc1ccc(Cl)cc1Cl)n1ccnc1,CCCCS.Clc1ccc(CC(Cl)n2ccnc2)c(Cl)c1,1
7388,CN1C(=O)C2(CCCc3cnc(C#CC4CC4)cc32)N=C1N,C#CC1CC1.CN1C(=O)C2(CCCc3cnc(Cl)cc32)N=C1N,3
7389,CC(C)(C)c1csc(NN)n1,CC(C)(C)C(=O)CBr.NNC(N)=S,4
7401,Cn1ccc2ncnc(Oc3ccc(C(=O)Nc4ccccc4)cc3)c21,Cn1ccc2ncnc(Oc3ccc(C(=O)O)cc3)c21.Nc1ccccc1,2
7428,CN(Cc1ccccc1)C(=O)c1noc([C@H](CCCC2CCCCC2)CC(=O)OC(C)(C)C)n1,CCOC(=O)c1noc([C@H](CCCC2CCCCC2)CC(=O)OC(C)(C)C)n1.CNCc1ccccc1,2
7439,COc1ccc(Cn2nccc2NC(=O)CSc2nnnn2-c2cccc(C)c2C)cc1,COc1ccc(Cn2nccc2N)cc1.Cc1cccc(-n2nnnc2SCC(=O)O)c1C,2
7440,Cc1cc(CNC2=C(c3ccccc3)S(=O)(=O)N(C(C)(C)C)C2=O)no1,CC(C)(C)N1C(=O)C(Cl)=C(c2ccccc2)S1(=O)=O.Cc1cc(CN)no1,1
7457,CC(C)N(Cc1cc(C(=O)O)cc2c1OC(C)(C)CC2(C)C)C1CC1,CCOC(=O)c1cc(CN(C(C)C)C2CC2)c2c(c1)C(C)(C)CC(C)(C)O2,6
7495,CC(C)(C)OC(=O)N1C(=O)COC[C@@H]1COCc1ccccc1,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C1COC[C@H](COCc2ccccc2)N1,5
7505,CC(C)(C)OC(=O)N1CCN(c2ccc(-c3cncc(-c4cc(-c5cc(Cl)ccc5F)nc5ncccc45)c3)cn2)CC1,CC(C)(C)OC(=O)N1CCN(c2ccc(B3OC(C)(C)C(C)(C)O3)cn2)CC1.Fc1ccc(Cl)cc1-c1cc(-c2cncc(Br)c2)c2cccnc2n1,3
7550,O=C(C1CCOCC1)N1CC[C@@H](O)C1,O=C(O)C1CCOCC1.O[C@@H]1CCNC1,2
7605,O=C(CCCN1CCN(c2ccc(C(F)(F)F)cc2)CC1)N1CCC(Nc2ccc(Cl)c(C(F)(F)F)c2)CC1,FC(F)(F)c1cc(NC2CCNCC2)ccc1Cl.O=C(O)CCCN1CCN(c2ccc(C(F)(F)F)cc2)CC1,2
7620,O=C(CCCCc1ccccc1)NCc1c[nH]cn1,NCc1c[nH]cn1.O=C(O)CCCCc1ccccc1,2
7665,CC(C)(C)OC(=O)NC(C(=O)c1ccc(OCC2CC2)cc1)c1ccc(Cl)c(Cl)c1,CC(C)(C)OC(=O)NC(C(=O)c1ccc(O)cc1)c1ccc(Cl)c(Cl)c1.OCC1CC1,1
7712,O=C(O)c1cc(Br)cc(-c2cccnc2)c1,COC(=O)c1cc(Br)cc(-c2cccnc2)c1,6
7716,O=Cc1ccc(-c2cc3c(c(C45CC6CC(CC(C6)C4)C5)c2)OCO3)cc1,Brc1cc2c(c(C34CC5CC(CC(C5)C3)C4)c1)OCO2.O=Cc1ccc(B(O)O)cc1,3
7746,CC(C)(C)c1ccc(C(=O)NN)cc1,CC(C)(C)c1ccc(C(=O)O)cc1.NN,2
7755,CCOC(=O)C1=C(Nc2ccccc2)OC(=Cc2c[nH]c3ncc(Cl)cc23)C1=O,CCOC(=O)C1=C(Nc2ccccc2)OCC1=O.O=Cc1c[nH]c2ncc(Cl)cc12,3
7818,COc1ccc(I)c(OCC2CO2)c1,COc1ccc(I)c(O)c1.ClCC1CO1,1
7822,CC(C)(C)OC(=O)N1CC2=C(C1)CN(c1ncc(C(=O)O)s1)C2,CCOC(=O)c1cnc(N2CC3=C(CN(C(=O)OC(C)(C)C)C3)C2)s1,6
7835,Cn1c(CO)cc2cccnc21,CCOC(=O)c1cc2cccnc2n1C,7
7859,Nc1cccnc1N1CCNCC1,O=[N+]([O-])c1cccnc1N1CCNCC1,7
7865,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C#CCCCOC)cc21,COCCCC#Cc1ccc2c(c1)[C@@H](N(C)C(=O)OC(C)(C)C)CC[C@H]2c1ccc(Cl)c(Cl)c1,6
7866,CCN(CC)c1ccc(-c2nc3c(N4CCN(Cc5cn(CC)c(=O)[nH]c5=O)CC4)cccc3[nH]2)cc1,CCN(CC)c1ccc(-c2nc3c(N4CCNCC4)cccc3[nH]2)cc1.CCn1cc(C=O)c(=O)[nH]c1=O,1
7882,CNC(=O)N(C)c1cc(CCl)ccn1,CN=C=O.CNc1cc(CCl)ccn1,2
7884,O=C(O)CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,CCOC(=O)CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,6
7915,CC(=O)N1CCC2(C1)CN(C(=O)Nc1ncc(Cl)s1)c1ccc(CCC(=O)N3CCC3)cc12,C1CNC1.CC(=O)N1CCC2(C1)CN(C(=O)Nc1ncc(Cl)s1)c1ccc(CCC(=O)O)cc12,2
7962,CC(C)(C)OC(=O)N1CCC(n2ncc3c(Oc4ccccc4C#N)ncnc32)CC1,CC(C)(C)OC(=O)N1CCC(n2ncc3c(Cl)ncnc32)CC1.N#Cc1ccccc1O,1
8011,CCn1ncc2c(Cl)c(C(N)=O)cnc21,CCn1ncc2c(Cl)c(C(=O)NCc3ccccc3)cnc21,9
8035,CS(=O)(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,CS(=O)(=O)c1cc2nccc(Oc3ccc(N)cc3F)c2s1.O=C(Cc1ccccc1)N=C=S,2
8055,CN(Cc1ccncc1)c1nc(Cl)nc(Cl)c1F,CNCc1ccncc1.Fc1c(Cl)nc(Cl)nc1Cl,1
8057,COC(=O)[C@@H](NC(=O)c1ccc(C#C/C=C/CC(O)CO)cc1)C(C)(C)N,COC(=O)[C@@H](NC(=O)c1ccc(C#C/C=C/CC(O)CO)cc1)C(C)(C)NC(=O)OC(C)(C)C,6
8060,OCc1cccc(I)c1F,O=C(O)c1cccc(I)c1F,7
8087,CC(C)(C)OC(=O)N1CCCCC1CN,CC(C)(C)OC(=O)N1CCCC[C@H]1CNC(=O)C(F)(F)F,6
8094,CCC(O)c1ccccc1Br,CC[Mg+].O=Cc1ccccc1Br,3
8121,CC(O)COC(=O)c1ccccc1C(=O)OOC(C)(C)C,CC(C)(C)OOC(=O)c1ccccc1C(=O)Cl.CC(O)CO,2
8134,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(O)ccc21,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCc3ccccc3)ccc21,6
8144,COc1ccc(C(F)(F)F)cc1NC(=O)c1ccc(C)c(-c2ccc3c(N4CCOCC4)nncc3c2)c1,Brc1ccc2c(N3CCOCC3)nncc2c1.COc1ccc(C(F)(F)F)cc1NC(=O)c1ccc(C)c(I)c1,3
8153,CC(C)(C)CNc1ncnc(Cl)c1N,CC(C)(C)CN.Nc1c(Cl)ncnc1Cl,1
8163,OCc1ccc2ccn(C(c3ccccc3)c3cccc(/C=C/c4ccc5ccccc5n4)c3)c2c1,O=Cc1ccc2ccn(C(c3ccccc3)c3cccc(/C=C/c4ccc5ccccc5n4)c3)c2c1,7
8165,COc1ccccc1NC(=O)[C@@H]1Cc2[nH]cnc2CN1C(C)=O,CC(=O)Cl.COc1ccccc1NC(=O)[C@@H]1Cc2[nH]cnc2CN1,2
8170,CCOC(=O)c1ccc(OCCCN)c([N+](=O)[O-])c1,CCOC(=O)c1ccc(OCCCNC(=O)OC(C)(C)C)c([N+](=O)[O-])c1,6
8209,CCOC(=O)[C@H](Cc1ccccc1)NCc1ccccc1,CCOC(=O)[C@@H](N)Cc1ccccc1.O=Cc1ccccc1,1
8214,O=C(Nc1ccccc1N1CCCCC1)c1ccc([N+](=O)[O-])o1,Nc1ccccc1N1CCCCC1.O=C(Cl)c1ccc([N+](=O)[O-])o1,2
8235,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@@H]1CCCC[C@@H]1C(=O)O,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H]1CCCC[C@H]1C(=O)OCC,6
8240,c1ccc(-c2cc(CN3CCC(CNc4nn(C5CCCCO5)c5ccc(-c6ncn(C(c7ccccc7)(c7ccccc7)c7ccccc7)n6)cc45)CC3)on2)cc1,Brc1nn(C2CCCCO2)c2ccc(-c3ncn(C(c4ccccc4)(c4ccccc4)c4ccccc4)n3)cc12.NCC1CCN(Cc2cc(-c3ccccc3)no2)CC1,1
8248,COc1ccc(/C=C(/C#N)c2cc(OC)c(OC)c(OC)c2)cc1N,CC(C)(C)OC(=O)NCC(N)=O,6
8255,CNc1ccc(I)nn1,CN.Ic1ccc(I)nn1,1
8265,COC(=O)C(Oc1cccc(C(F)(F)F)c1)c1ccc(OCC(C)Oc2ccc(C(C)(C)C)cc2)cc1,COC(=O)C(Br)c1ccc(OCC(C)Oc2ccc(C(C)(C)C)cc2)cc1.Oc1cccc(C(F)(F)F)c1,1
8284,CCCCCc1c(-c2ccc3c(Br)c(OCC#N)ccc3c2)n(Cc2ccccc2)c2ccccc12,BrCc1ccccc1.CCCCCc1c(-c2ccc3c(Br)c(OCC#N)ccc3c2)[nH]c2ccccc12,1
8300,COC(=O)c1ccc(F)c(-c2c(F)cc(OC3CCCOC3)cc2F)n1,COC(=O)c1ccc(F)c(-c2c(F)cc(O)cc2F)n1.OC1CCCOC1,1
8333,Cn1c(C(=O)N[C@H]2CCCC[C@H]2C(=O)NC(C#N)CC2CCNCC2)cc2ccccc21,Cn1c(C(=O)N[C@H]2CCCC[C@H]2C(=O)NC(C#N)CC2CCN(C(=O)OC(C)(C)C)CC2)cc2ccccc21,6
8343,CNC(=O)c1cccc([N+](=O)[O-])c1,CN.O=C(Cl)c1cccc([N+](=O)[O-])c1,2
8348,COc1ccc2[nH]c(=O)c3sccc3c2c1-c1ccc2cn[nH]c2c1,CC1(C)OB(c2ccc3cn[nH]c3c2)OC1(C)C.COc1ccc2[nH]c(=O)c3sccc3c2c1Br,3
8368,CCCOc1ccc(C(=O)Oc2cc[nH]c(=O)c2)cc1,CCCOc1ccc(C(=O)Cl)cc1.O=c1cc(O)cc[nH]1,2
8431,N#CC(N)=C(C#N)N=Cc1c(Cl)cc(C(F)(F)F)cc1Cl,N#C/C(N)=C(/N)C#N.O=Cc1c(Cl)cc(C(F)(F)F)cc1Cl,1
8451,COC(=O)CCc1cc(Cl)ccc1C(=O)OC,COC(=O)C=Cc1cc(Cl)ccc1C(=O)OC,7
8468,CCOC(=O)COc1ncccc1Oc1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)c(F)cc1N,CCOC(=O)COc1ncccc1Oc1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)c(F)cc1[N+](=O)[O-],7
8479,COc1nc2cc(Cl)c(Cl)c(Cn3cc(CCCN4CCOCC4)cn3)c2nc1OC,COc1nc2cc(Cl)c(Cl)c(CBr)c2nc1OC.c1n[nH]cc1CCCN1CCOCC1,1
8493,O=C(O)c1ccc(N=Cc2cc(Cl)ccc2O)cc1,Nc1ccc(C(=O)O)cc1.O=Cc1cc(Cl)ccc1O,1
8504,COC(=O)[C@@H]1[C@H](O)CCN1S(=O)(=O)c1ccc(C#N)c(Cl)c1C,COC(=O)[C@H]1NCC[C@H]1O.Cc1c(S(=O)(=O)O)ccc(C#N)c1Cl,2
8543,O=C1S/C(=C\c2ccc3c(cnn3Cc3ccc(Cl)cc3C(F)(F)F)c2)C(=O)N1[C@@H]1CCN(CCO)C[C@H]1F,O=C1S/C(=C\c2ccc3c(cnn3Cc3ccc(Cl)cc3C(F)(F)F)c2)C(=O)N1[C@@H]1CCNC[C@H]1F.OCCBr,1
8576,Oc1cccc(Nc2nc(NCc3ccc4c(c3)OCCO4)ncc2F)c1,NCc1ccc2c(c1)OCCO2.Oc1cccc(Nc2nc(Cl)ncc2F)c1,1
8581,Cc1c2n(c3ccccc13)C(=O)C(C(O)c1ncn(C(c3ccccc3)(c3ccccc3)c3ccccc3)c1C)CC2,Cc1c(C=O)ncn1C(c1ccccc1)(c1ccccc1)c1ccccc1.Cc1c2n(c3ccccc13)C(=O)CCC2,3
8589,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(C)CO,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(C)C=O,7
8624,NC1CN(C(=O)OCc2ccccc2)CCCC1O,[N-]=[N+]=NC1CN(C(=O)OCc2ccccc2)CCCC1O,9
8642,CC(C)c1[nH]n(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(NC(=O)CN4CCNCC4)cc3)nc(=O)c1-2,C1CNCCN1.CC(C)c1[nH]n(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(NC(=O)CCl)cc3)nc(=O)c1-2,1
8644,Cc1cccc(C)c1-c1cc(CO)ccc1F,Cc1cccc(C)c1-c1cc(C=O)ccc1F,7
8704,N[C@@H]1CC[C@H](C(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)C1,CC(C)(C)OC(=O)N[C@@H]1CC[C@H](C(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)C1,6
8709,CCCOC(=O)N1CCN(C(=O)OC(C)(C)C)CC1,CC(C)(C)OC(=O)N1CCNCC1.CCCOC(=O)Cl,2
8749,CC(C)(C)OC(=O)N1CCC(N2CCNC(=O)C2c2ccccc2)CC1,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C1NCCN(C2CCNCC2)C1c1ccccc1,5
8762,CC(C)(C)OC(=O)N1CCc2c(n(CCS(=O)c3ccccc3)c3ccccc23)CC1,CC(C)(C)OC(=O)N1CCc2[nH]c3ccccc3c2CC1.O=S(CCCl)c1ccccc1,1
8782,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C#N)cc23)cc1Cl,COc1ccc(CNc2nnc(Cl)c3ccc(C#N)cc23)cc1Cl.OC1CCNCC1,1
8796,Cc1c(-c2ccccc2)n(Cc2ccccc2)c2cc(-c3ccc(OCc4nnn[nH]4)cc3)ccc12,Cc1c(-c2ccccc2)n(Cc2ccccc2)c2cc(-c3ccc(OCC#N)cc3)ccc12.[N-]=[N+]=[N-],4
8803,CC(C)CCSc1ccc(Br)cc1,CC(C)CCBr.Sc1ccc(Br)cc1,1
8813,Nc1ncnc2c1c(-c1cccc(OCC3CCCCO3)c1)cn2[C@H]1C[C@@H](CO)C1,CC1(C)OB(c2cccc(OCC3CCCCO3)c2)OC1(C)C.Nc1ncnc2c1c(I)cn2[C@H]1C[C@@H](CO)C1,3
8814,c1coc(CCc2ccncc2)c1,C(=Cc1ccco1)c1ccncc1,7
8833,CN(C)Cc1c(OCc2ccc(C#N)cc2)ccc2c(CCC3CCN(C(=O)OC(C)(C)C)CC3)noc12,CC(C)(C)OC(=O)N1CCC(CCc2noc3c(COS(C)(=O)=O)c(OCc4ccc(C#N)cc4)ccc23)CC1.CNC,1
8848,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1c(F)cccc1Cl,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)OC)n1Cc1c(F)cccc1Cl,6
8853,O=C(O)C(F)(F)F,CC(C)(C)OC(=O)N1CCN(c2c(COc3ccccc3C(F)(F)F)cc(Br)cc2NC(=O)c2nccc3ccccc23)CC1,6
8887,CCc1c(C(=O)N2CCOc3ccc(-c4ccc5nc(CO)[nH]c5c4)cc3C2)ccc(S(C)(=O)=O)c1F,CCc1c(C(=O)N2CCOc3ccc(-c4ccc(N)c(N)c4)cc3C2)ccc(S(C)(=O)=O)c1F.O=C(O)CO,4
8903,Cc1cc(NC(=O)NC(=O)c2ccccc2N(C)C)ccc1Oc1ncc(Br)cn1,CN(C)c1ccccc1C(N)=O.Cc1cc(N=C=O)ccc1Oc1ncc(Br)cn1,2
8926,N#Cc1c2ccccc2c(C=O)c2ccccc12,N#C[Cu].O=Cc1c2ccccc2c(Cl)c2ccccc12,9
8927,CCNC(=O)c1ccc(-n2cc(C(=O)NC3CC3)nn2)c(OC(C)c2ccccc2)c1,CC(Br)c1ccccc1.CCNC(=O)c1ccc(-n2cc(C(=O)NC3CC3)nn2)c(O)c1,1
8976,CCOc1nc(N[C@H]2CCOC2)ncc1C(=O)NC1C2CC3CC1CC(O)(C3)C2,CCOc1nc(Cl)ncc1C(=O)NC1C2CC3CC1CC(O)(C3)C2.N[C@H]1CCOC1,1
8985,C[Si](C)(C)CCOCn1nc(C=Cc2ccccc2)c2ccc(Nc3cccc([N+](=O)[O-])c3)cc21,C[Si](C)(C)CCOCn1nc(C=Cc2ccccc2)c2ccc(N)cc21.O=[N+]([O-])c1cccc(I)c1,1
8998,CCOC1(C2CCN(C(=O)OC)CC2=O)OCCO1,CCOC(=O)C1CCN(C(=O)OC)CC1=O.OCCO,5
9009,Cn1c(SCC(=O)O)nc2cnc(N3CCC(Oc4cc(F)ccc4Br)CC3)nc21,CCOC(=O)CSc1nc2cnc(N3CCC(Oc4cc(F)ccc4Br)CC3)nc2n1C,6
9044,CCCCCCCCCCNC(=O)[C@@H]1CCCN1,CCCCCCCCCCNC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C,6
9055,CC(C)(C)OC(=O)CNCCc1cccc(C(=O)OC(C)(C)C)c1,CC(C)(C)OC(=O)CBr.CC(C)(C)OC(=O)c1cccc(CCN)c1,1
9182,O=C(CN1CCC(C(=O)c2ccc(Cl)cc2)CC1)c1cccs1,O=C(CBr)c1cccs1.O=C(c1ccc(Cl)cc1)C1CCNCC1,1
9244,O=C(NCC(=O)N1CCN(C(=O)c2ccccc2C(F)(F)F)CC1)c1ccc(-c2ccccc2)cc1,NCC(=O)N1CCN(C(=O)c2ccccc2C(F)(F)F)CC1.O=C(O)c1ccc(-c2ccccc2)cc1,2
9252,O=C1CCCc2c1ccc(O)c2CSc1cccc2ccccc12,O=C1CCCc2c1ccc(O)c2CCl.Sc1cccc2ccccc12,1
9255,CCOP(=O)(CCNS(=O)(=O)Cl)OCC,CCOP(=O)(CCN)OCC.O=S(=O)(Cl)Cl,2
9259,O=S(=O)(NCc1ccco1)C1CCCCC1,NCc1ccco1.O=S(=O)(Cl)C1CCCCC1,2
9320,Cn1c(=O)oc2cc3c(cc21)OCC31C(=O)N(Cc2ccc(C(F)(F)F)o2)c2ccccc21,Cn1c(=O)oc2cc3c(cc21)OCC31C(=O)Nc2ccccc21.FC(F)(F)c1ccc(CBr)o1,1
9322,Cc1cc(C)c(O)c(NC(=O)C(Cl)CC(C)C)c1,CC(C)CC(Cl)C(=O)Cl.Cc1cc(C)c(O)c(N)c1,2
9333,O=C(O)COCCOCCOCCOCCOCCOCCOCC(F)(F)F,CCOC(=O)COCCOCCOCCOCCOCCOCCOCC(F)(F)F,6
9372,CCCCC#Cc1nc(NC(c2ccc(OC)cc2)c2ccc(OC)cc2)c2ncn([C@@H]3C[C@H](n4cc(C)cn4)[C@@H](O)[C@H]3O)c2n1,C#CCCCC.COc1ccc(C(Nc2nc(Cl)nc3c2ncn3[C@@H]2C[C@H](n3cc(C)cn3)[C@@H](O)[C@H]2O)c2ccc(OC)cc2)cc1,3
9397,CC(C)(C)c1ccc(Cn2ccc3cc(N)ccc32)cc1,CC(C)(C)c1ccc(Cn2ccc3cc([N+](=O)[O-])ccc32)cc1,7
9407,CC(=O)NC1CCN(c2c(C(C)=O)cc(Cl)c3cccnc23)CC1,CC(=O)NC1CCNCC1.CC(=O)c1cc(Cl)c2cccnc2c1OS(=O)(=O)C(F)(F)F,1
9411,Cc1nn(C(F)F)cc1S(=O)(=O)N1CC(C(C)(C)O[SiH2]C(C)(C)C)Cc2ncc(NC(=O)OC(C)(C)C)cc21,CC(C)(C)OC(=O)Nc1cnc2c(c1)NCC(C(C)(C)O[SiH2]C(C)(C)C)C2.Cc1nn(C(F)F)cc1S(=O)(=O)Cl,2
9412,COc1cc(F)c(F)cc1-c1ccc(OCC2CCN(C(=O)N(C)CC(=O)NS(C)(=O)=O)C2)cc1,COc1cc(F)c(F)cc1-c1ccc(OCC2CCN(C(=O)N(C)CC(=O)O)C2)cc1.CS(N)(=O)=O,2
9512,CC(C)(C)c1cc(C=O)c(O)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,CC(C)(C)c1cc(Br)c(O)c(C=O)c1.OB(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,3
9513,Cc1ccc2cc(O)ccc2n1,COc1ccc2nc(C)ccc2c1,6
9534,CN1CC[C@@](O)(C#Cc2cc(-c3nc(C(N)=O)c(N)cc3F)ccc2F)C1=O,C#C[C@]1(O)CCN(C)C1=O.NC(=O)c1nc(-c2ccc(F)c(Br)c2)c(F)cc1N,3
9554,CCOC(=O)Cn1ccc2ccc(OCCCC#Cc3ccc(C(F)(F)F)cc3)cc21,CCOC(=O)Cn1ccc2ccc(O)cc21.OCCCC#Cc1ccc(C(F)(F)F)cc1,1
9644,CC(C)Nc1ccc(F)cc1CN1CCC(COc2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc2C2CC2)CC1,CC(C)Nc1ccc(F)cc1CN1CCC(COc2cc(F)c(C(=O)O)cc2C2CC2)CC1.NS(=O)(=O)C1CC1,2
9700,O=S(=O)(Cc1nc(-c2ccccc2)no1)c1ccccc1,ClCc1nc(-c2ccccc2)no1.O=S([O-])c1ccccc1,1
9703,CNc1c(F)cc2c(=O)c(C(=O)O)cn(-c3nc(NCCO)c(F)cc3F)c2c1Cl,CN.O=C(O)c1cn(-c2nc(NCCO)c(F)cc2F)c2c(Cl)c(F)c(F)cc2c1=O,1
9752,O=C(Nc1ccc(N2CCC(Cc3ccccc3)CC2)cc1)c1ccc([N+](=O)[O-])o1,Nc1ccc(N2CCC(Cc3ccccc3)CC2)cc1.O=C(Cl)c1ccc([N+](=O)[O-])o1,2
9772,C[C@@H]1C(=O)C(C#N)=C[C@]2(c3cccc(C(=O)O)c3)c3nc(-c4ccccc4)ncc3CC[C@@H]12,COC(=O)c1cccc([C@]23C=C(C#N)C(=O)[C@@H](C)[C@@H]2CCc2cnc(-c4ccccc4)nc23)c1,6
9806,C(=NNc1ncnc2c1cnn2-c1nccs1)c1ccncc1,NNc1ncnc2c1cnn2-c1nccs1.O=Cc1ccncc1,1
9812,COc1cc(NS(=O)(=O)c2ccc(C)cc2N)c2ncccc2c1,COc1cc(NS(=O)(=O)c2ccc(C)cc2[N+](=O)[O-])c2ncccc2c1,7
9824,NCCc1cnn2ccc3c(c12)CCO3,N#CCc1cnn2ccc3c(c12)CCO3,7
9832,Cc1ccc(S(=O)(=O)NC2CCCNC2=O)cc1,Cc1ccc(S(=O)(=O)Cl)cc1.NC1CCCNC1=O,2
9880,COC(=O)c1c(-c2ccccc2)c2cc(-c3ccccc3)ccc2c(=O)n1Cc1ccc2c(c1)OCO2,COC(=O)c1c(-c2ccccc2)c2cc(Br)ccc2c(=O)n1Cc1ccc2c(c1)OCO2.OB(O)c1ccccc1,3
9890,COc1cc(COc2nn(-c3ccccc3)cc2C=O)ccc1OCc1csc(N2CCCCC2)n1,COc1cc(CO)ccc1OCc1csc(N2CCCCC2)n1.O=Cc1cn(-c2ccccc2)nc1O,1
9906,O=C(O)CC1CCc2c1[nH]c1ccc(-c3noc(-c4cc(OC(F)(F)F)cc(N5CCCC5)c4)n3)cc21,CCOC(=O)CC1CCc2c1[nH]c1ccc(-c3noc(-c4cc(OC(F)(F)F)cc(N5CCCC5)c4)n3)cc21,6
9937,O=C(O)C1=Cc2cc(-c3ccc(F)cc3)ccc2OCC1,COC(=O)C1=Cc2cc(-c3ccc(F)cc3)ccc2OCC1,6
9948,Cc1ccc(OCCCCN2CCC(c3cccc(NC(=O)C(C)C)c3)CC2)cc1C,CC(C)C(=O)Nc1cccc(C2CCNCC2)c1.Cc1ccc(OCCCCCl)cc1C,1
