,input,output,reaction_type
35,CCC(C)COC(C)=O,CC(=O)Cl.CCC(C)CO,2
39,Cc1ccc(S(=O)(=O)O)cc1,CC1(N)CCN(C(=O)OC(C)(C)C)CC1,6
107,COc1cc([N+](=O)[O-])ccc1NC(=O)OCc1ccccc1,COc1cc([N+](=O)[O-])ccc1N.O=C(Cl)OCc1ccccc1,2
259,COc1ccc(-c2cc3c(cn2)CN(C(C)=O)c2ccccc2C=C3)cn1,COc1ccc(-c2nc3c(cc2F)CN(C(C)=O)c2ccccc2C=C3)cn1,3
311,NCc1cn(-c2ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc2)nn1,C#CCN.[N-]=[N+]=Nc1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,4
373,CCCOc1ccc2c(c1)C(=O)c1cccc(O)c1-2,CCCOc1ccc2c(c1)C(=O)c1cccc(OC)c1-2,6
621,CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)c1ccc(OC(F)(F)F)cc1)[C@@H](O)CC(C)(C)O2,CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)c1ccc(OC(F)(F)F)cc1)C(=O)CC(C)(C)O2,7
713,CCC[C@@H](N)C(=O)N1CC(F)C1,CCC[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CC(F)C1,6
764,CCOC(=O)c1c(CCc2ccc(C(F)(F)F)cc2)nc2c(c1-c1ccc(C(=O)N[C@H](C)c3ccncc3)cc1)C(=O)N1CCC[C@@H]21,CCOC(=O)c1c(CCc2ccc(C(F)(F)F)cc2)nc2c(c1-c1ccc(C(=O)O)cc1)C(=O)N1CCC[C@@H]21.C[C@@H](N)c1ccncc1,2
799,CCc1cnc(N2CCC(COc3ccc(-c4ccc(S(C)(=O)=O)cc4)cc3)CC2)nc1,CCc1cnc(Cl)nc1.CS(=O)(=O)c1ccc(-c2ccc(OCC3CCNCC3)cc2)cc1,1
952,CCOC(=O)C1(CC)CCN(c2nc(Cl)ns2)CC1,CCOC(=O)C1(CC)CCNCC1.Clc1nsc(Cl)n1,1
965,O=S1(=O)c2ccccc2C=Cc2ccc(CO)cc21,O=C(O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C=C2,7
1247,COc1ccc(CNCc2csnn2)c(OC)c1,COc1ccc(CN)c(OC)c1.O=Cc1csnn1,1
1310,O=C(N1CCC(c2ccc(S(=O)(=O)Nc3ncns3)cc2)CC1)C(F)(F)F,Nc1ncns1.O=C(N1CCC(c2ccc(S(=O)(=O)Cl)cc2)CC1)C(F)(F)F,2
1402,Cc1cccc2cc(C=O)n(C)c12,CN(C)C=O.Cc1cccc2ccn(C)c12,3
1576,CC(C)CNC[C@@H](O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,CC(C)CNC[C@@H](O)[C@H](Cc1ccc(OCc2ccccc2)cc1)NC(=O)OC(C)(C)C,6
1923,COCCc1cc(C)c(C)c(C(=O)OC)c1,CI.COC(=O)c1cc(CCO)cc(C)c1C,1
2020,CCC(C)(C)Cc1cn(S(=O)(=O)N(C)C)cn1,CCC(C)(C)Cc1c[nH]cn1.CN(C)S(=O)(=O)Cl,2
2025,OCCc1nccn1CCCc1ccc(O)cc1,OCCc1nccn1CCCc1ccc(OCc2ccccc2)cc1,6
2045,CCOC(=O)COc1cc(C2CCCN(C(=O)c3sc(-c4ccc(C(F)(F)F)cc4)nc3C)C2)ccc1C,CCOC(=O)COc1cc(C2CCCNC2)ccc1C.Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)O,2
2328,CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)OCC(Cl)(Cl)Cl,CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)O.OCC(Cl)(Cl)Cl,2
2464,CC1(C)CC(O)CC(C)(C)O1,CC1(C)CC(=O)CC(C)(C)O1,7
2688,Cc1ccc2cccc(OCc3c(Cl)ccc([N+](=O)[O-])c3Cl)c2n1,Cc1ccc2cccc(O)c2n1.O=[N+]([O-])c1ccc(Cl)c(CCl)c1Cl,1
2737,CC[C@H](C)[C@H](N)C(=O)N(C(=O)[C@@H]1CCCN1CC(=O)c1ccc(-c2ccccc2)cc1)C(C)(C)C,CC[C@H](C)[C@H](N)C(=O)NC(C)(C)C.O=C(CN1CCC[C@H]1C(=O)O)c1ccc(-c2ccccc2)cc1,2
2906,Cc1ccccc1NC(=O)c1c(N)cccc1Cl,Cc1ccccc1NC(=O)c1c(Cl)cccc1[N+](=O)[O-],7
3015,C=CCc1cnc(N)cn1,CN(C)C=O.Nc1cnc(Br)cn1,3
3027,CCC(CC)(c1ccc(OCC(O[Si](C)(C)C(C)(C)C)C(C)(C)C)c(C)c1)c1cc(C)c(CO)s1,CCC(CC)(c1ccc(OCC(O[Si](C)(C)C(C)(C)C)C(C)(C)C)c(C)c1)c1cc(C)c(C(=O)OC)s1,7
3034,CN1CCN(c2ccc(-c3ccc4c(c3)C=C(C(=O)Nc3ccc(CN(C)C5CCOCC5)cc3)CCO4)cc2)CC1,CN(Cc1ccc(N)cc1)C1CCOCC1.CN1CCN(c2ccc(-c3ccc4c(c3)C=C(C(=O)O)CCO4)cc2)CC1,2
3043,COCC1CCCN(c2nc3cc(C(=O)O)ccc3nc2-c2ccc(F)cc2)C1,COCC1CCCN(c2nc3cc(C(=O)OC)ccc3nc2-c2ccc(F)cc2)C1,6
3149,CCc1cnc(Cl)c(-n2ncc(C(=O)O)c2C)c1,CCOC(=O)c1cnn(-c2cc(CC)cnc2Cl)c1C,6
3206,CCN(c1cncc(C(=O)O)c1C)C1CCOCC1,CCN(c1cncc(C(=O)OC)c1C)C1CCOCC1,6
3265,CN(C)CCCN1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccccc3Oc3ccc(Cl)cc3Cl)cc2)CC1,CN(C)CCCN1CCNCC1.O=C(O)c1ccc(S(=O)(=O)Nc2ccccc2Oc2ccc(Cl)cc2Cl)cc1,2
3316,CNC(=O)C(Cc1ccc2ccccc2c1)N1CCN(C(=O)C(N)Cc2ccc(F)cc2)C(COC)C1,CNC(=O)C(Cc1ccc2ccccc2c1)N1CCN(C(=O)C(Cc2ccc(F)cc2)NC(=O)OC(C)(C)C)C(COC)C1,6
3352,O=c1c2ccccc2nc(S(=O)Cc2ccncc2)n1-c1ccccc1,O=C(OO)c1cccc(Cl)c1.O=c1c2ccccc2nc(SCc2ccncc2)n1-c1ccccc1,8
3399,CCCO[C@H]1CCC[C@H]([NH3+])C(=O)O[C@@H](C)[C@@H]1CCC(C)C,CCCO[C@H]1CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O[C@@H](C)[C@@H]1CCC(C)C.ClCCl,6
3529,O=C(Nc1ccc(C(=O)N2Cc3ccccc3Cc3ccccc32)cc1)c1ccc(F)cc1F,Nc1ccc(C(=O)N2Cc3ccccc3Cc3ccccc32)cc1.O=C(Cl)c1ccc(F)cc1F,2
3767,CN(C1(C(=O)O)CCCC1)S(=O)(=O)c1ccc2c(Cl)cnc(NC(=N)N)c2c1,CCOC(=O)C1(N(C)S(=O)(=O)c2ccc3c(Cl)cnc(NC(=N)N)c3c2)CCCC1,6
4024,Cn1c(=O)c2cc(C(=O)O)cn2c2ccccc21,CCOC(=O)c1cc2c(=O)n(C)c3ccccc3n2c1,6
4052,O=C(O)C1C(C(=O)Nc2ccc(Cl)cc2)C1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,CCOC(=O)C1C(C(=O)Nc2ccc(Cl)cc2)C1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,6
4094,CCCCC(Oc1ccc(CC(=O)O)cc1)c1cccc(-c2ccc(C(F)(F)F)cc2)n1,CCCCC(Oc1ccc(CC(=O)OC)cc1)c1cccc(-c2ccc(C(F)(F)F)cc2)n1,6
4275,Cc1ccc(NC(=O)OCc2ccccc2)cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1Cl,Cc1ccc(N)cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1Cl.O=C(Cl)OCc1ccccc1,2
4313,CCN1CCc2cc(OC)c(OC)cc2C1C1CC(C(=O)N2CCN(c3ncnc4c3cnn4Cc3ccncc3)CC2)CCC12c1cc(OC)c(OC)cc1CCN2C(=O)CCN(C)C=O,CCN1CCc2cc(OC)c(OC)cc2C1C1CC(C(=O)N2CCN(c3ncnc4c3cnn4Cc3ccncc3)CC2)CCC12c1cc(OC)c(OC)cc1CCN2C(=O)CCNC.O=CO,2
4387,O=C(CCCSc1nc[nH]n1)NC/C=C\COc1cc(CN2CCCCC2)ccn1,O=C(CCCCl)NC/C=C\COc1cc(CN2CCCCC2)ccn1.Sc1nc[nH]n1,1
4439,N#Cc1ccc(COc2cc(Cl)ccc2-c2nc3cc(F)c(F)cc3n2CC2CCCCC2)cc1F,N#Cc1ccc(CBr)cc1F.Oc1cc(Cl)ccc1-c1nc2cc(F)c(F)cc2n1CC1CCCCC1,1
4601,CCCCCCCCCCCC(=O)Nc1ccc(C(=O)O)cc1,CCCCCCCCCCCC(=O)Cl.Nc1ccc(C(=O)O)cc1,2
4722,COc1cc(N2CCN(CCO)CC2)ccc1Nc1ncc(C)c(-c2cnc3ccccn23)n1,COc1cc(N2CCN(CCO)CC2)ccc1N.Cc1cnc(Cl)nc1-c1cnc2ccccn12,1
4868,NNC(=O)Cc1c(F)cc2ncc(Br)cc2c1F,NN.O=C(O)Cc1c(F)cc2ncc(Br)cc2c1F,2
4898,CCOC(=O)C1(c2ccc(-c3ccc(-c4onc(C)c4NC(=O)N(C)[C@H](C)c4ccccc4)cc3)cc2)CC1,CCOC(=O)C1(c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)CC1.Cc1noc(-c2ccc(Br)cc2)c1NC(=O)N(C)[C@H](C)c1ccccc1,3
4900,CCOC(=O)CCc1cn(Cc2ccccc2)nc1C(C)C,CCOC(=O)/C=C/c1cn(Cc2ccccc2)nc1C(C)C,7
4972,OCCc1ccc(Cc2cc(-c3cccc(Cl)c3)nc(C(F)(F)F)c2)cc1,COC(=O)Cc1ccc(Cc2cc(-c3cccc(Cl)c3)nc(C(F)(F)F)c2)cc1,7
5018,Cc1onc(-c2ccc(F)cc2)c1CNc1ccc(C(=O)NCC(F)(F)F)nn1,CCOC(=O)c1ccc(NCc2c(-c3ccc(F)cc3)noc2C)nn1.NCC(F)(F)F,2
5121,Nc1nccn2c(C3CCNCC3)nc(-c3cc4ccccc4[nH]3)c12,Nc1nccn2c(C3CCN(C(=O)OCc4ccccc4)CC3)nc(-c3cc4ccccc4[nH]3)c12,6
5146,CC(C)(C)OC(=O)N1CCC(=O)N(CCCC=O)CC1,COC(CCCN1CCN(C(=O)OC(C)(C)C)CCC1=O)OC,6
5151,COc1ccccc1C(F)(F)COc1ccc(CCN)cc1,COc1ccccc1C(F)(F)COc1ccc(CC#N)cc1,7
5309,Cc1ncc(Cl)cc1CN,Cc1ncc(Cl)cc1CN1C(=O)c2ccccc2C1=O,6
5328,Nc1ccc(-c2ccccc2)nn1,Nc1ccc(Cl)nn1.OB(O)c1ccccc1,3
5395,COc1cccc2c1NC(CNC(C)=O)CO2,CC(=O)OC(C)=O.COc1cccc2c1NC(CN)CO2,2
5479,CCOC(=O)NCC(CC(=O)O)c1ccc(Cl)c(Cl)c1,CCOC(=O)Cl.NCC(CC(=O)O)c1ccc(Cl)c(Cl)c1,2
5727,Cc1c(N)cc(C(=O)O)cc1F,Cc1c(F)cc(C(=O)O)cc1[N+](=O)[O-],7
5739,O=C(CCC(=O)c1ccc2c(c1)CCO2)Nc1cc(-c2cccc(CCCO)c2)cc(-c2ccccc2)n1,O=C(CCC(=O)c1ccc2c(c1)CCO2)Nc1cc(Cl)cc(-c2ccccc2)n1.OCCCc1cccc(B(O)O)c1,3
5817,COc1ccccc1Oc1nc(Nc2cc(C)[nH]n2)cc2ccccc12,COc1ccccc1O.Cc1cc(Nc2cc3ccccc3c(Cl)n2)n[nH]1,1
6021,CCOC(=O)c1cc(C2=C(c3cc(Cl)ccc3OCc3ccccc3)CCC2)ccc1NC(C)=O,CC(=O)Cl.CCOC(=O)c1cc(C2=C(c3cc(Cl)ccc3OCc3ccccc3)CCC2)ccc1N,2
6098,Nc1c[nH]c2ncc(Br)c(F)c12,O=[N+]([O-])c1c[nH]c2ncc(Br)c(F)c12,7
6227,CCOC(=O)c1ccc2nc(-c3ccc(C(F)(F)F)cc3)sc2c1,CCOC(=O)c1ccc2nc(Br)sc2c1.OB(O)c1ccc(C(F)(F)F)cc1,3
6297,c1ccc(OCCN2CCC3(C2)NCCc2c3[nH]c3ccc(-c4nnn[nH]4)cc23)cc1,C[Si](C)(C)N=[N+]=[N-].N#Cc1ccc2[nH]c3c(c2c1)CCNC31CCN(CCOc2ccccc2)C1,4
6333,N#CCc1csc2ccc(F)cc12,Fc1ccc2scc(CBr)c2c1.[C-]#N,9
6392,CCCC(C)COc1ccc([C@H](CN=[N+]=[N-])NC(=O)[C@@H](C)c2ccccc2)cc1,CCCC(C)COc1ccc([C@@H](N)CN=[N+]=[N-])cc1.C[C@H](C(=O)O)c1ccccc1,2
6562,CCN(Cc1cccc(C)n1)C(=O)CN(c1ccc2cn[nH]c2c1)S(=O)(=O)c1ccc(C(C)(C)C)cc1,CC(C)(C)c1ccc(S(=O)(=O)N(CC(=O)O)c2ccc3cn[nH]c3c2)cc1.CCNCc1cccc(C)n1,2
6908,CCOCC(=O)N(CC)Cc1cc(C(F)(F)F)ccc1-c1cncc(CC(=O)OCC)c1,CCNCc1cc(C(F)(F)F)ccc1-c1cncc(CC(=O)OCC)c1.CCOCC(=O)O,2
6925,CC1Cc2ccc(Br)cc2CN1C(=O)OC(C)(C)C,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CC1Cc2ccc(Br)cc2CN1,5
7073,CC[Si](C#Cc1ccc2[nH]ccc2c1)(CC)CC,C#C[Si](CC)(CC)CC.Ic1ccc2[nH]ccc2c1,3
7273,CCOC(C)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CO[Si](C)(C)C(C)(C)C)[C@@]4(C)CC[C@@H]32)C1(C)C,C=COCC.C[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
7372,CCCCSC(Cc1ccc(Cl)cc1Cl)n1ccnc1,CCCCS.Clc1ccc(CC(Cl)n2ccnc2)c(Cl)c1,1
7388,CN1C(=O)C2(CCCc3cnc(C#CC4CC4)cc32)N=C1N,C#CC1CC1.CN1C(=O)C2(CCCc3cnc(Cl)cc32)N=C1N,3
7401,Cn1ccc2ncnc(Oc3ccc(C(=O)Nc4ccccc4)cc3)c21,Cn1ccc2ncnc(Oc3ccc(C(=O)O)cc3)c21.Nc1ccccc1,2
7439,COc1ccc(Cn2nccc2NC(=O)CSc2nnnn2-c2cccc(C)c2C)cc1,COc1ccc(Cn2nccc2N)cc1.Cc1cccc(-n2nnnc2SCC(=O)O)c1C,2
7716,O=Cc1ccc(-c2cc3c(c(C45CC6CC(CC(C6)C4)C5)c2)OCO3)cc1,Brc1cc2c(c(C34CC5CC(CC(C5)C3)C4)c1)OCO2.O=Cc1ccc(B(O)O)cc1,3
8121,CC(O)COC(=O)c1ccccc1C(=O)OOC(C)(C)C,CC(C)(C)OOC(=O)c1ccccc1C(=O)Cl.CC(O)CO,2
8209,CCOC(=O)[C@H](Cc1ccccc1)NCc1ccccc1,CCOC(=O)[C@@H](N)Cc1ccccc1.O=Cc1ccccc1,1
8248,COc1ccc(/C=C(/C#N)c2cc(OC)c(OC)c(OC)c2)cc1N,CC(C)(C)OC(=O)NCC(N)=O,6
8368,CCCOc1ccc(C(=O)Oc2cc[nH]c(=O)c2)cc1,CCCOc1ccc(C(=O)Cl)cc1.O=c1cc(O)cc[nH]1,2
8451,COC(=O)CCc1cc(Cl)ccc1C(=O)OC,COC(=O)C=Cc1cc(Cl)ccc1C(=O)OC,7
8479,COc1nc2cc(Cl)c(Cl)c(Cn3cc(CCCN4CCOCC4)cn3)c2nc1OC,COc1nc2cc(Cl)c(Cl)c(CBr)c2nc1OC.c1n[nH]cc1CCCN1CCOCC1,1
8581,Cc1c2n(c3ccccc13)C(=O)C(C(O)c1ncn(C(c3ccccc3)(c3ccccc3)c3ccccc3)c1C)CC2,Cc1c(C=O)ncn1C(c1ccccc1)(c1ccccc1)c1ccccc1.Cc1c2n(c3ccccc13)C(=O)CCC2,3
8624,NC1CN(C(=O)OCc2ccccc2)CCCC1O,[N-]=[N+]=NC1CN(C(=O)OCc2ccccc2)CCCC1O,9
8642,CC(C)c1[nH]n(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(NC(=O)CN4CCNCC4)cc3)nc(=O)c1-2,C1CNCCN1.CC(C)c1[nH]n(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(NC(=O)CCl)cc3)nc(=O)c1-2,1
8813,Nc1ncnc2c1c(-c1cccc(OCC3CCCCO3)c1)cn2[C@H]1C[C@@H](CO)C1,CC1(C)OB(c2cccc(OCC3CCCCO3)c2)OC1(C)C.Nc1ncnc2c1c(I)cn2[C@H]1C[C@@H](CO)C1,3
8833,CN(C)Cc1c(OCc2ccc(C#N)cc2)ccc2c(CCC3CCN(C(=O)OC(C)(C)C)CC3)noc12,CC(C)(C)OC(=O)N1CCC(CCc2noc3c(COS(C)(=O)=O)c(OCc4ccc(C#N)cc4)ccc23)CC1.CNC,1
8927,CCNC(=O)c1ccc(-n2cc(C(=O)NC3CC3)nn2)c(OC(C)c2ccccc2)c1,CC(Br)c1ccccc1.CCNC(=O)c1ccc(-n2cc(C(=O)NC3CC3)nn2)c(O)c1,1
8976,CCOc1nc(N[C@H]2CCOC2)ncc1C(=O)NC1C2CC3CC1CC(O)(C3)C2,CCOc1nc(Cl)ncc1C(=O)NC1C2CC3CC1CC(O)(C3)C2.N[C@H]1CCOC1,1
8985,C[Si](C)(C)CCOCn1nc(C=Cc2ccccc2)c2ccc(Nc3cccc([N+](=O)[O-])c3)cc21,C[Si](C)(C)CCOCn1nc(C=Cc2ccccc2)c2ccc(N)cc21.O=[N+]([O-])c1cccc(I)c1,1
9252,O=C1CCCc2c1ccc(O)c2CSc1cccc2ccccc12,O=C1CCCc2c1ccc(O)c2CCl.Sc1cccc2ccccc12,1
9259,O=S(=O)(NCc1ccco1)C1CCCCC1,NCc1ccco1.O=S(=O)(Cl)C1CCCCC1,2
9322,Cc1cc(C)c(O)c(NC(=O)C(Cl)CC(C)C)c1,CC(C)CC(Cl)C(=O)Cl.Cc1cc(C)c(O)c(N)c1,2
9397,CC(C)(C)c1ccc(Cn2ccc3cc(N)ccc32)cc1,CC(C)(C)c1ccc(Cn2ccc3cc([N+](=O)[O-])ccc32)cc1,7
9407,CC(=O)NC1CCN(c2c(C(C)=O)cc(Cl)c3cccnc23)CC1,CC(=O)NC1CCNCC1.CC(=O)c1cc(Cl)c2cccnc2c1OS(=O)(=O)C(F)(F)F,1
9411,Cc1nn(C(F)F)cc1S(=O)(=O)N1CC(C(C)(C)O[SiH2]C(C)(C)C)Cc2ncc(NC(=O)OC(C)(C)C)cc21,CC(C)(C)OC(=O)Nc1cnc2c(c1)NCC(C(C)(C)O[SiH2]C(C)(C)C)C2.Cc1nn(C(F)F)cc1S(=O)(=O)Cl,2
9512,CC(C)(C)c1cc(C=O)c(O)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,CC(C)(C)c1cc(Br)c(O)c(C=O)c1.OB(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,3
9700,O=S(=O)(Cc1nc(-c2ccccc2)no1)c1ccccc1,ClCc1nc(-c2ccccc2)no1.O=S([O-])c1ccccc1,1
9806,C(=NNc1ncnc2c1cnn2-c1nccs1)c1ccncc1,NNc1ncnc2c1cnn2-c1nccs1.O=Cc1ccncc1,1
